,Title,Cast,Director,Release Date,Running Time,Country,Production Company,IMDb Score,Genre,Description,Box Office,Wins_Nominations,IMDb Votes,Rated,Type
204,nan,"Paul Reid, Emer Hedderman, Rosalie Craig",,,,United Kingdom,,4.8,Comedy,Catherine Tate's iconic character Nan hits the big screen as she goes on a wild road trip from London to Ireland with her grandson Jamie to make amends with her estranged sister Nell.,,1 win & 2 nominations,"1,377",N/A,movie
205,nan,"Paul Reid, Emer Hedderman, Rosalie Craig",,,,United Kingdom,,4.8,Comedy,Catherine Tate's iconic character Nan hits the big screen as she goes on a wild road trip from London to Ireland with her grandson Jamie to make amends with her estranged sister Nell.,,1 win & 2 nominations,"1,377",N/A,movie
206,Lionheart,"Jean-Claude Van Damme, Harrison Page, Deborah Rennard",Genevieve Nnaji,"['7 September 2018 ', '4 January 2019']",95 minutes,United States,The Entertainment Network ,6.2,"Action, Crime, Drama",An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,,N/A,"38,600",R,movie
207,The Last Laugh,"Emil Jannings, Maly Delschaft, Max Hiller",Greg Pritikin,,98 minutes,Germany,Netflix Paris Film,8.0,Drama,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",,N/A,"14,784",Not Rated,movie
208,Io,"Margaret Qualley, Anthony Mackie, Danny Huston",Jonathan Helpert,,96 minutes,United States,"['Mandalay Pictures', 'Sunset Junction Entertainment', 'Untitled Entertainment', 'Great Point Media']",4.8,"Adventure, Drama, Sci-Fi","As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",,1 nomination,"35,703",TV-14,movie
209,Soni,"Geetika Vidya Ohlyan, Saloni Batra, Vikas Shukla",Ivan Ayr,"['8 September 2018 ', '18 January 2019 ']",97 minutes,India,Jabberwockee Talkies The Film Cafe Production,7.1,"Crime, Drama","While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.",,7 wins & 10 nominations,"2,969",TV-MA,movie
210,Polar,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick",Jonas Åkerlund,,118 minutes,"United States, Germany","['Constantin Film', 'JB Pictures', 'Dark Horse Entertainment']",6.3,"Action, Thriller","A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.",,1 nomination,"96,065",TV-MA,movie
211,Velvet Buzzsaw,"Jake Gyllenhaal, Rene Russo, Zawe Ashton",Dan Gilroy,"['January 27, 2019 ', 'February 1, 2019 ']",113 minutes,"United States, Canada",['Netflix'],5.7,"Horror, Mystery, Thriller","A thriller about the contemporary art scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.",,1 win & 3 nominations,"64,562",R,movie
212,High Flying Bird,"André Holland, Melvin Gregg, Eddie Tavares",Steven Soderbergh,"['January 27, 2019 ', 'February 8, 2019 ']",91 minutes,United States,"['Extension 765', 'Harper Road Films']",6.2,"Drama, Sport","During a pro basketball lockout, a sports agent pitches a rookie basketball client on an intriguing and controversial business proposition.",,7 nominations,"9,100",TV-MA,movie
213,Firebrand,"Usha Jadhav, Girish Kulkarni, Sachin Khedekar",Aruna Raje,,116 minutes,India,Purple Pebble Pictures,5.2,Drama,"The ups and downs of modern-day relationship take the spotlight in this contemporary, slice-of-life story.",,1 nomination,299,N/A,movie
214,Paris Is Us,"Noémie Schmidt, Grégoire Isvarine, Marie Mottet",,,83 minutes,France,,4.6,Drama,Anna misses the flight she should have taken to find Greg in Barcelona. The plane crashes.,,2 nominations,"1,490",N/A,movie
215,Paddleton,"Christine Woods, Mark Duplass, Ray Romano",Alex Lehmann,"['February 1, 2019 ', 'February 22, 2019 ']",89 minutes,United States,['Duplass Brothers Productions'],7.1,"Comedy, Drama",An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.,,3 nominations,"14,968",TV-MA,movie
216,Walk. Ride. Rodeo.,"Spencer Locke, Missi Pyle, Bailey Chase",Conor Allyn,,99 minutes,United States,"['Poke Prod', 'Netflix']",6.4,"Biography, Drama, Sport",A courageous teenager is determined to resume competitive rodeo months after her paralyzing spinal cord injury.,,N/A,"2,681",TV-PG,movie
217,Juanita,"Alfre Woodard, Bonnie Johnson, Jordan Nia Elizabeth",Clark Johnson,,,United States,"['Homegrown Pictures', 'Mandalay Pictures']",6.0,Drama,"Fed up with her life, Juanita leaves her grown kids behind and hits the road in search of a fresh start.",,1 win & 2 nominations,"2,532",TV-MA,movie
218,Triple Frontier,"Ben Affleck, Oscar Isaac, Charlie Hunnam",J. C. Chandor,"['March 3, 2019 ', 'March 6, 2019 ']",125 minutes,United States,Atlas Entertainment,6.5,"Action, Thriller","Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.",,3 nominations,"139,327",R,movie
219,Altered Carbon: Resleeved,"Ray Chase, Doug Stone, Kaiji Tang","['Takeru Nakajima', 'Yoshiyuki Okada']",,74 minutes,"Japan, United States",Anima,6.4,"Animation, Action, Crime","On the planet Latimer, reawakened Takeshi Kovacs must protect a teenage tattooist named Holly while investigating the death of a yakuza boss alongside Gina, a strangely familiar no-nonsense CTAC agent.",,N/A,"6,680",TV-MA,movie
