,Title,Description,Rated_General Audiences,Rated_Mature Audiences,Rated_Not Rated,Rated_Parental Guidance,Netflix_director,Actor_Weight,Netflix_popular_company,Running Time(mins)_scaled,Wins_scaled,Nominations_scaled,IMDb Votes_scaled,IMDb Score_scaled,Release Year_scaled,Multiple Production Companies,International,Release Year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Primary_Country_Argentina,Primary_Country_Australia,Primary_Country_Austria,Primary_Country_Belgium,Primary_Country_Brazil,Primary_Country_Cambodia,Primary_Country_Canada,Primary_Country_Chile,Primary_Country_China,Primary_Country_Czech Republic,Primary_Country_Denmark,Primary_Country_France,Primary_Country_Georgia,Primary_Country_Germany,Primary_Country_Greece,Primary_Country_Hong Kong,Primary_Country_Hungary,Primary_Country_Iceland,Primary_Country_India,Primary_Country_Indonesia,Primary_Country_Ireland,Primary_Country_Israel,Primary_Country_Italy,Primary_Country_Japan,Primary_Country_Mexico,Primary_Country_Netherlands,Primary_Country_New Zealand,Primary_Country_Nigeria,Primary_Country_Norway,Primary_Country_Pakistan,Primary_Country_Peru,Primary_Country_Philippines,Primary_Country_Poland,Primary_Country_South Africa,Primary_Country_South Korea,Primary_Country_Spain,Primary_Country_Sweden,Primary_Country_Thailand,Primary_Country_Turkey,Primary_Country_United Arab Emirates,Primary_Country_United Kingdom,Primary_Country_United States,Cleaned_Description,Token_Description,Stem_Description,Stem_Description_String
261,Como caído del cielo,Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.,0,1,0,0,0,0.0034883720930232,0,0.515,0.0,0.0,0.0020752756607971,0.657142857142857,0.9591836734693864,1,0,2019,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mexican legend pedro infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator,"['mexican', 'legend', 'pedro', 'infante', 'receives', 'another', 'opportunity', 'on', 'earth', 'to', 'redeem', 'himself', 'for', 'his', 'forays', 'with', 'women', 'and', 'earn', 'heaven', 'in', 'the', 'body', 'of', 'an', 'imitator']","['mexican', 'legend', 'pedro', 'infant', 'receiv', 'anoth', 'opportun', 'on', 'earth', 'to', 'redeem', 'himself', 'for', 'hi', 'foray', 'with', 'women', 'and', 'earn', 'heaven', 'in', 'the', 'bodi', 'of', 'an', 'imit']",mexican legend pedro infant receiv anoth opportun on earth to redeem himself for hi foray with women and earn heaven in the bodi of an imit
262,The App,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.",0,0,1,0,0,0.0034883720930232,0,0.35,0.0,0.0,0.0018889632325342,0.1285714285714285,0.9591836734693864,1,0,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loving girlfriend family fortune breakout movie role hes got it all until an app awakens a powerful new yearning while in rome to shoot his first movie niccolò becomes obsessed and sent into a selfdestructive spiral,"['loving', 'girlfriend', 'family', 'fortune', 'breakout', 'movie', 'role', 'hes', 'got', 'it', 'all', 'until', 'an', 'app', 'awakens', 'a', 'powerful', 'new', 'yearning', 'while', 'in', 'rome', 'to', 'shoot', 'his', 'first', 'movie', 'niccolò', 'becomes', 'obsessed', 'and', 'sent', 'into', 'a', 'selfdestructive', 'spiral']","['love', 'girlfriend', 'famili', 'fortun', 'breakout', 'movi', 'role', 'he', 'got', 'it', 'all', 'until', 'an', 'app', 'awaken', 'a', 'power', 'new', 'yearn', 'while', 'in', 'rome', 'to', 'shoot', 'hi', 'first', 'movi', 'niccolò', 'becom', 'obsess', 'and', 'sent', 'into', 'a', 'selfdestruct', 'spiral']",love girlfriend famili fortun breakout movi role he got it all until an app awaken a power new yearn while in rome to shoot hi first movi niccolò becom obsess and sent into a selfdestruct spiral
263,ReMastered: Massacre at the Stadium,"This documentary questions who killed Victor Jara, Chilean musician and activist who died during the dictatorship in his country.",0,1,0,0,0,0.0034883720930232,0,0.275,0.0,0.0056179775280898,0.001121954403773,0.7714285714285714,0.9591836734693864,1,0,2019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,this documentary questions who killed victor jara chilean musician and activist who died during the dictatorship in his country,"['this', 'documentary', 'questions', 'who', 'killed', 'victor', 'jara', 'chilean', 'musician', 'and', 'activist', 'who', 'died', 'during', 'the', 'dictatorship', 'in', 'his', 'country']","['thi', 'documentari', 'question', 'who', 'kill', 'victor', 'jara', 'chilean', 'musician', 'and', 'activist', 'who', 'die', 'dure', 'the', 'dictatorship', 'in', 'hi', 'countri']",thi documentari question who kill victor jara chilean musician and activist who die dure the dictatorship in hi countri
264,Fyre,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,0,1,0,0,1,0.0034883720930232,0,0.44,0.0,0.0168539325842696,0.0682012283020818,0.7571428571428571,0.9591836734693864,1,0,2019,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,an exclusive behind the scenes look at the infamous unraveling of the fyre music festival,"['an', 'exclusive', 'behind', 'the', 'scenes', 'look', 'at', 'the', 'infamous', 'unraveling', 'of', 'the', 'fyre', 'music', 'festival']","['an', 'exclus', 'behind', 'the', 'scene', 'look', 'at', 'the', 'infam', 'unravel', 'of', 'the', 'fyre', 'music', 'festiv']",an exclus behind the scene look at the infam unravel of the fyre music festiv
265,ReMastered: The Two Killings of Sam Cooke,An investigation into the circumstances and controversy surrounding Sam Cooke's murder.,0,1,0,0,0,0.0046511627906976,0,0.325,0.0,0.0028089887640449,0.0032257889039389,0.7571428571428571,0.9591836734693864,1,0,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,an investigation into the circumstances and controversy surrounding sam cookes murder,"['an', 'investigation', 'into', 'the', 'circumstances', 'and', 'controversy', 'surrounding', 'sam', 'cookes', 'murder']","['an', 'investig', 'into', 'the', 'circumst', 'and', 'controversi', 'surround', 'sam', 'cook', 'murder']",an investig into the circumst and controversi surround sam cook murder
266,Period. End of Sentence.,"In a rural village outside Delhi, India, women lead a quiet revolution. They fight against the deeply rooted stigma of menstruation. ""Period. End of Sentence."" -- a documentary short directed by Rayka Zehtabchi -- tells their story. For generations, these women didn't have access to pads, which lead to health problems and girls missing school or dropping out entirely. But when a sanitary pad machine is installed in the village, the women learn to manufacture and market their own pads, empowering the women of their community. They name their brand ""FLY,"" because they want women ""to soar."" Their flight is, in part, enabled by the work of high school girls half a world away, in California, who raised the initial money for the machine and began a non-profit called ""The Pad Project.""",0,0,0,1,0,0.0034883720930232,0,0.08,0.0472727272727272,0.0028089887640449,0.0085540523633119,0.7857142857142858,0.948979591836732,1,0,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,in a rural village outside delhi india women lead a quiet revolution they fight against the deeply rooted stigma of menstruation period end of sentence a documentary short directed by rayka zehtabchi tells their story for generations these women didnt have access to pads which lead to health problems and girls missing school or dropping out entirely but when a sanitary pad machine is installed in the village the women learn to manufacture and market their own pads empowering the women of their community they name their brand fly because they want women to soar their flight is in part enabled by the work of high school girls half a world away in california who raised the initial money for the machine and began a nonprofit called the pad project,"['in', 'a', 'rural', 'village', 'outside', 'delhi', 'india', 'women', 'lead', 'a', 'quiet', 'revolution', 'they', 'fight', 'against', 'the', 'deeply', 'rooted', 'stigma', 'of', 'menstruation', 'period', 'end', 'of', 'sentence', 'a', 'documentary', 'short', 'directed', 'by', 'rayka', 'zehtabchi', 'tells', 'their', 'story', 'for', 'generations', 'these', 'women', 'didnt', 'have', 'access', 'to', 'pads', 'which', 'lead', 'to', 'health', 'problems', 'and', 'girls', 'missing', 'school', 'or', 'dropping', 'out', 'entirely', 'but', 'when', 'a', 'sanitary', 'pad', 'machine', 'is', 'installed', 'in', 'the', 'village', 'the', 'women', 'learn', 'to', 'manufacture', 'and', 'market', 'their', 'own', 'pads', 'empowering', 'the', 'women', 'of', 'their', 'community', 'they', 'name', 'their', 'brand', 'fly', 'because', 'they', 'want', 'women', 'to', 'soar', 'their', 'flight', 'is', 'in', 'part', 'enabled', 'by', 'the', 'work', 'of', 'high', 'school', 'girls', 'half', 'a', 'world', 'away', 'in', 'california', 'who', 'raised', 'the', 'initial', 'money', 'for', 'the', 'machine', 'and', 'began', 'a', 'nonprofit', 'called', 'the', 'pad', 'project']","['in', 'a', 'rural', 'villag', 'outsid', 'delhi', 'india', 'women', 'lead', 'a', 'quiet', 'revolut', 'they', 'fight', 'against', 'the', 'deepli', 'root', 'stigma', 'of', 'menstruat', 'period', 'end', 'of', 'sentenc', 'a', 'documentari', 'short', 'direct', 'by', 'rayka', 'zehtabchi', 'tell', 'their', 'stori', 'for', 'gener', 'these', 'women', 'didnt', 'have', 'access', 'to', 'pad', 'which', 'lead', 'to', 'health', 'problem', 'and', 'girl', 'miss', 'school', 'or', 'drop', 'out', 'entir', 'but', 'when', 'a', 'sanitari', 'pad', 'machin', 'is', 'instal', 'in', 'the', 'villag', 'the', 'women', 'learn', 'to', 'manufactur', 'and', 'market', 'their', 'own', 'pad', 'empow', 'the', 'women', 'of', 'their', 'commun', 'they', 'name', 'their', 'brand', 'fli', 'becaus', 'they', 'want', 'women', 'to', 'soar', 'their', 'flight', 'is', 'in', 'part', 'enabl', 'by', 'the', 'work', 'of', 'high', 'school', 'girl', 'half', 'a', 'world', 'away', 'in', 'california', 'who', 'rais', 'the', 'initi', 'money', 'for', 'the', 'machin', 'and', 'began', 'a', 'nonprofit', 'call', 'the', 'pad', 'project']",in a rural villag outsid delhi india women lead a quiet revolut they fight against the deepli root stigma of menstruat period end of sentenc a documentari short direct by rayka zehtabchi tell their stori for gener these women didnt have access to pad which lead to health problem and girl miss school or drop out entir but when a sanitari pad machin is instal in the villag the women learn to manufactur and market their own pad empow the women of their commun they name their brand fli becaus they want women to soar their flight is in part enabl by the work of high school girl half a world away in california who rais the initi money for the machin and began a nonprofit call the pad project
267,ReMastered: The Miami Showband Massacre,"In 1974, while on the way home from a gig, the apolitical rock group, The Miami Showband, fell into the crosshairs of a Protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec...",0,0,1,0,0,0.0034883720930232,0,0.31,0.0,0.0028089887640449,0.0020711958266016,0.7142857142857144,0.9591836734693864,1,0,2019,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,in 1974 while on the way home from a gig the apolitical rock group the miami showband fell into the crosshairs of a protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec,"['in', '1974', 'while', 'on', 'the', 'way', 'home', 'from', 'a', 'gig', 'the', 'apolitical', 'rock', 'group', 'the', 'miami', 'showband', 'fell', 'into', 'the', 'crosshairs', 'of', 'a', 'protestant', 'unionist', 'paramilitary', 'group', 'that', 'planted', 'explosives', 'on', 'their', 'bus', 'when', 'it', 'was', 'stopped', 'at', 'a', 'fake', 'chec']","['in', '1974', 'while', 'on', 'the', 'way', 'home', 'from', 'a', 'gig', 'the', 'apolit', 'rock', 'group', 'the', 'miami', 'showband', 'fell', 'into', 'the', 'crosshair', 'of', 'a', 'protest', 'unionist', 'paramilitari', 'group', 'that', 'plant', 'explos', 'on', 'their', 'bu', 'when', 'it', 'wa', 'stop', 'at', 'a', 'fake', 'chec']",in 1974 while on the way home from a gig the apolit rock group the miami showband fell into the crosshair of a protest unionist paramilitari group that plant explos on their bu when it wa stop at a fake chec
268,The Legend of Cocaine Island,A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.,0,1,0,0,0,0.0034883720930232,0,0.37,0.0072727272727272,0.0028089887640449,0.0047026888827238,0.6285714285714286,0.948979591836732,1,0,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a desperate man goes on a buried treasure hunt for 2 million worth of cocaine,"['a', 'desperate', 'man', 'goes', 'on', 'a', 'buried', 'treasure', 'hunt', 'for', '2', 'million', 'worth', 'of', 'cocaine']","['a', 'desper', 'man', 'goe', 'on', 'a', 'buri', 'treasur', 'hunt', 'for', '2', 'million', 'worth', 'of', 'cocain']",a desper man goe on a buri treasur hunt for 2 million worth of cocain
269,Brené Brown: The Call to Courage,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,0,0,1,0,0,0.0011627906976744,0,0.335,0.0,0.0,0.0023527043860937,0.8285714285714285,0.9591836734693864,1,0,2019,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,brené brown compares courage to vulnerability and gives her audience a call to take chances,"['brené', 'brown', 'compares', 'courage', 'to', 'vulnerability', 'and', 'gives', 'her', 'audience', 'a', 'call', 'to', 'take', 'chances']","['brené', 'brown', 'compar', 'courag', 'to', 'vulner', 'and', 'give', 'her', 'audienc', 'a', 'call', 'to', 'take', 'chanc']",brené brown compar courag to vulner and give her audienc a call to take chanc
270,Grass Is Greener,A look at America's complicated relationship with cannabis.,0,1,0,0,0,0.0034883720930232,0,0.44,0.0,0.0,0.0020004787005456,0.7428571428571429,0.9591836734693864,1,0,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,a look at americas complicated relationship with cannabis,"['a', 'look', 'at', 'americas', 'complicated', 'relationship', 'with', 'cannabis']","['a', 'look', 'at', 'america', 'complic', 'relationship', 'with', 'cannabi']",a look at america complic relationship with cannabi
