,Title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Written by,Production company,Release date,Language,Countries,Story by,Spanish,Narrated by,Country of origin,Original language,Producers,Editor,Original release,Location,Associated album,Start date,End date,Legs,No. of shows,Supporting acts,Attendance,Composer,Executive producers,French,Venue,Kanji,Literal meaning,Transcriptions,Revised Hepburn,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Genre,Created by,Editors,Released,Length,Label,Producer,Executive producer,Original network,Portuguese,Animation by,Hangul,Revised Romanization,Turkish,Italian,Voices of,Original languages,No. of seasons,No. of episodes,Indonesian,German,Literally,Norwegian,Polish,Dutch,Hanja,Swedish,Music,Lyrics,Book,Basis,Productions,Composers,Camera setup,Date,Attack type,Weapon,Victim,Perpetrator,Motive,Accused,Convictions,Outcome,Sentence,McCune–Reischauer,Production locations,,Recorded,Original work,Owner,Years,Film(s),Television series,Video game(s),Toy(s),Comics,Short film(s),Web series,Animated series,Television special(s),Play(s),Novel(s),Traditional
289,The Legend of Cocaine Island,Theo Love,,,Theo Love,Bo Butterworth,,,,,Netflix,"['20 April 2018 ', '29 March 2019 ']",,United States,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Homecoming,['Beyoncé'],,,Beyoncé,"['Beyoncé', 'Jay-Z', 'Kelly Rowland', 'Michelle Williams', 'Solange Knowles']",Mark Ritchie,"['Live performance', 'Alexander Hammer', 'Documentary', 'Andrew Morrow', 'Nia Imani', 'Julian Klincewicz']",Beyoncé,,Netflix,,137 minutes,United States,,,,Beyoncé,Parkwood Entertainment,"['April 17, 2019']",English,,,,Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Brené Brown: The Call to Courage,Sandra Restrepo,,,,Brené Brown,,,,,Netflix,,76 minutes,United States,,,,,,"['April 19, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Grass Is Greener,,,,,Snoop Dogg B-Real,,,,,Netflix,,"1 hour, 37 minutes",U.S.,,,,,,"['April 20, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,ReMastered: Devil at the Crossroads,Brian Oakes,,,,Robert Johnson Terry Bean Rory Block,,,,,Netflix,,48 minutes,United States,,,,Jeff Zimbalist Michael Zimbalist,,"['April 26, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Knock Down the House,Rachel Lears,,,"['Rachel Lears', 'Robin Blotnick', 'Sarah Olson']","['Alexandria Ocasio-Cortez', 'Amy Vilela', 'Cori Bush', 'Paula Jean Swearengin']",Rachel Lears,Robin Blotnick,Ryan Blotnick,"['Jubilee Films', 'Atlas Films', 'Artemis Rising Films']",Netflix,"['January 27, 2019 ', 'May 1, 2019 ']",86 minutes,United States,,,,"['Rachel Lears', 'Robin Blotnick']",,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,All in My Family,Hao Wu,,,,,,,,,Netflix,,39 minutes,United States,,,,Hao Wu,,"['May 3, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,ReMastered: The Lion's Share,Sam Cullman,,,,Rian Malan Solomon Linda Delphi Linda,,,,,Netflix,,84 minutes,United States,,,,Jeff Zimbalist Michael Zimbalist,,"['May 17, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,A Tale of Two Kitchens,Trisha Ziff,,,,,,,,,Netflix,,29 minutes,,,,,,,"['May 22, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,After Maria,Nadia Hallgren,,,,Glenda Martes,,,,,Netflix,"['April 28, 2019 ', 'May 24, 2019']",37 minutes,United States,,,,,One Story Up Productions,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,The Black Godfather,Reginald Hudlin,,,,Hank Aaron Dina R. Andrews Clarence Avant,,,,Boardwalk Pictures Makemake,Netflix,,118 minutes,United States,,,,,,"['June 7, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,,,Margaret Bodde Jeff Rosen,Bob Dylan,Paul Goldsmith Ellen Kuras,Damian Rodriguez David Tedeschi,,Grey Water Park Productions Sikelia Productions,Netflix,,142 minutes,United States,,,,,,"['June 12, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Life Overtakes Me,"['Kristine Samuelson', 'John Haptas']",,,,,,,,,Netflix,"['April 7, 2019 ', 'June 14, 2019']",39 minutes,,,,,,,,English,"Sweden, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,The Edge of Democracy,Petra Costa,,,"['Shane Boris', 'Petra Costa', 'Joanna Natasegara', 'Tiago Pavan']","['Dilma Rousseff', 'Michel Temer', 'Eduardo Cunha', 'Luiz Inácio Lula da Silva']",João Atala,,"['Vitor Araújo', 'Rodrigo Leão', 'Gilberto Monte', 'Lucas Santtana']",,Netflix,"['January 24, 2019 ', 'June 19, 2019 ']",121 minutes,Brazil,Portuguese English,,,"['Petra Costa', 'Carol Pires', 'David Barker', 'Moara Passoni']",['Busca Vida Filmes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Parchis: The Documentary,Daniel Arasanz,,,,Francisco Díaz Tino Fernández David Muñoz,,,,,Netflix,,106 minutes,Spain,,,,Daniel Arasanz Jordi Meya,,"['July 10, 2019']",Spanish,,,Parchís: El documental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,The Great Hack,"['Karim Amer', 'Jehane Noujaim']",,,"['Karim Amer', 'Geralyn White Dreyfous', 'Judy Korin', 'Pedro Kos']","['Carole Cadwalladr', 'David Carroll', 'Brittany Kaiser']",,"['Erin Barnett', 'Carlos Rojas']",,,Netflix,"['January 26, 2019 ', 'July 24, 2019 ']",113 minutes,United States,,,,"['Karim Amer', 'Erin Barnett', 'Pedro Kos']",The Othrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Enter the Anime,Alex Burunova,,,"['Alex Burunova', 'Estefanía Lee']","['Shinji Aramaki', 'Kôzô Morishita', 'Yoko Takahashi']",Yohei Tateishi,,,,Netflix,,58 minutes,,"English, Japanese",,,"['Julia Yorks', 'Meggy Garol']",,"['August 5, 2019']",,"United States, Japan",,,Tania Nolan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,American Factory,"['Steven Bognar', 'Julia Reichert']",,,"['Jeff Reichert', 'Julie Parker Benello']",,"['Steven Bognar', 'Aubrey Keith', 'Jeff Reichert', 'Julia Reichert', 'Erick Stoll']",Lindsay Utz,Chad Cannon,"['Higher Ground Productions', 'Participant Media']",Netflix,"['January 25, 2019 ', 'August 21, 2019 ']",110 minutes,United States,"['English', 'Mandarin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Měiguó Gōngchǎng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Travis Scott: Look Mom I Can Fly,['White Trash Tyler'],,,"['Travis Scott', 'Kylie Jenner', 'David Stromberg', 'Angus Wall']",['Travis Scott'],,,,,Netflix,,84 minutes,United States,,,,,,"['August 28, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Evelyn,,,,Joanna Natasegara,['Orlando von Einsiedel'],Franklin Dow,,Patrick Jonsson,"['Grain Media', 'Violet Films', 'BBC Films', 'British Film Institute', 'The Bertha Foundation']",Netflix,"['11 October 2018 ', '10 September 2019']",96 minutes,United Kingdom,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,"Hello Privilege. It's Me, Chelsea",['Alex Stapleton'],,,,['Chelsea Handler'],,,,,Netflix,,64 minutes,United States,,,,,['Condé Nast Entertainment'],"['September 13, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Los Tigres del Norte at Folsom Prison,['Tom Donahue'],,,,['Los Tigres del Norte'],,Karim López,,,Netflix,,64 minutes,United States,,,,,['Creative Chaos Ventures'],"['September 15, 2019']",Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Birders,Otilia Portillo Padua,,,Gael García Bernal,,,,,,Netflix,,37 minutes,,"English, Spanish",,,,,"['September 25, 2019']",,"United States, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Ghosts of Sugar Land,['Bassam Tariq'],,,,"['Jennifer Julian', 'Kc Okoro']",,,,,Netflix,"['January 26, 2019 ', 'September 15, 2019']",21 minutes,United States,,,,"['Thomas Niles', 'Bassam Tariq']",['Field of Vision'],,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Tell Me Who I Am,Ed Perkins,,,Simon Chinn,"['Alex Lewis', 'Marcus Lewis']",Erik Alexander Wilson,David Charap,Gary Welch,,['Netflix'],,86 minutes,United Kingdom,,,,,,['18 October 2019'],English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Dancing with the Birds,['Huw Cordey'],,,,,,,,,Netflix,,51 minutes,United States,,,,,Silverback Films,"['October 23, 2019']",English,,,,Stephen Fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,It Takes a Lunatic,"['Billy Lyons ', 'Kim Ferraro ', 'Seth Isler ']",,,,"['Alec Baldwin', 'André Bishop', 'Michael Douglas']",,,,,Netflix,"['May 3, 2019 ', 'October 25, 2019']",120 minutes,United States,,,,,Exemplar Productions,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,A 3 Minute Hug,['Everardo González'],,,,,,,,,Netflix,,28 minutes,,,,,['Everardo González'],No Ficción,"['October 28, 2019']",Spanish,"['Mexico', 'United States']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Little Miss Sumo,Matt Kay,,,,Hiyori Kon,,,,,Netflix,"['October 18, 2018 ', 'October 28, 2019']",19 minutes,United Kingdom,"['Japanese', 'English']",,,Matt Kay,Walks of Life Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Fire in Paradise,"['Zackary Canepari', 'Drea Cooper']",,,,"['Joy Beeson', 'Beth Bowersox', 'Abbie DavisHiyori Kon']",,,,,Netflix,"['September 1, 2019 ', 'November 1, 2019 ']",40 minutes,United States,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,"Bikram: Yogi, Guru, Predator",['Eva Orner'],,,,"['Larissa Anderson', 'Francesca Asumah', 'Sarah Baughn']",,,,,Netflix,"['September 10, 2019 ', 'August 11']",86 minutes,United States,,,,,Pulse Films,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,"Lorena, Light-Footed Woman",['Juan Carlos Rulfo'],,,,"['Lorena Ramirez', 'Mario Ramírez', 'Santiago Ramírez']",,,,,Netflix,,28 minutes,Mexico,"['Spanish', 'Tarahumara']",,,,No Ficción,"['November 20, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,After the Raid,Rodrigo Reyes,,,,,,,,,Netflix,,24 minutes,,,,,,No Ficción,"['December 19, 2019']",['English'],"['United States', 'Mexico']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,El Pepe: A Supreme Life,Emir Kusturica,,,,Pepe Mujica,,,,"['Kramer & Sigman Films', 'Oriental Films']",Netflix,"['September 2, 2018 ', 'December 27, 2019']",74 minutes,,,,"$78,683",,,,Spanish,"Argentina, Uruguay, Serbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Kevin Hart's Guide to Black History,Tom Stern,,,,Kevin Hart,,,,,,,62 minutes,,,,,,,,,,,,,United States,,,,"February 8, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Still Laugh-In: The Stars Celebrate,,,,['George Schlatter'],"['Tony Hale', 'Tiffany Haddish', 'Neil Patrick Harris']",,,,,Netflix,,60 minutes,United States,,,,,,"['May 14, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,The Unauthorized Bash Brothers Experience,Mike Diva Akiva Schaffer,,,,Andy Samberg Akiva Schaffer,Aaron Grasso,,,The Lonely Island Imposter Lord Danger,,,30 minutes,,,,,,,,,,,,,United States,,,,"May 23, 2019",,,,,,,,,The Lonely Island,Andy Samberg Akiva Schaffer Jorma Taccone Becky Sloviter,,,,,,,,,,Comedy musical,The Lonely Island,Mike Diva Akiva Schaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Anima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electronic,,,27 June 2019,,XL,Nigel Godrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,"Frankenstein's Monster's Monster, Frankenstein",Daniel Gray Longino,,,"['Nathan Reinhart', 'Erin Owens']","['David Harbour', 'Alex Ozerov', 'Kate Berlant', 'Mary Woronov', 'Alfred Molina', 'Heather Lawless', 'Marion Van Cuyck']",Carl Herse,Santiago Pedroza,Michael Penn,"['Levenstein Harbour Longino', 'A24']",Netflix,,32 minutes,United States,,,,John Levenstein,,"['July 16, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Rocko's Modern Life: Static Cling,Joe Murray Cosmo Segurson,,Rocko's Modern Life by Joe Murray,,"['Carlos Alazraqui', 'Tom Kenny', 'Mr. Lawrence', 'Charlie Adler']",,,,"Joe Murray Studio  Nickelodeon Animation Studio Yeson Entertainment, Inc. ",,,45 minutes,,,,,"['Mr. Lawrence', 'Joe Murray', 'Martin Olson']",,,,,,,,United States,English,,Kevin Sukho Lee,"August 9, 2019",,,,,,,,,Pat Irwin,,,,,,,,,,,,,,,,,Lizbeth Velasco,Joe Murray,Netflix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,American Factory,"['Steven Bognar', 'Julia Reichert']",,,"['Jeff Reichert', 'Julie Parker Benello']",,"['Steven Bognar', 'Aubrey Keith', 'Jeff Reichert', 'Julia Reichert', 'Erick Stoll']",Lindsay Utz,Chad Cannon,"['Higher Ground Productions', 'Participant Media']",Netflix,"['January 25, 2019 ', 'August 21, 2019 ']",110 minutes,United States,"['English', 'Mandarin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Měiguó Gōngchǎng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,El Camino: A Breaking Bad Movie,Vince Gilligan,,Breaking Bad by Vince Gilligan,"['Mark Johnson', 'Melissa Bernstein', 'Charles Newirth', 'Vince Gilligan', 'Aaron Paul', 'Diane Mercer']","['Aaron Paul', 'Jesse Plemons', 'Krysten Ritter', 'Charles Baker', 'Matt Jones', 'Robert Forster', 'Jonathan Banks', 'Bryan Cranston']",Marshall Adams,Skip Macdonald,Dave Porter,"['Sony Pictures Television', 'Gran Vía Productions', 'High Bridge Productions']","['Netflix', 'Sony Pictures Releasing']",,122 minutes,United States,,More than $6 million,"More than $40,000",Vince Gilligan,,"['October 11, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,The Irishman: In Conversation,,,,,"['Martin Scorsese', 'Robert De Niro', 'Al Pacino', 'Joe Pesci']",,,,,Netflix,,23 minutes,United States,,,,,Netflix Studios,"['November 27, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,John Mulaney & the Sack Lunch Bunch,Rhys Thomas,,,John Skidmore,John Mulaney Alexander Bello Tyler Bourke Ava Briglia Cordelia Commando Camille De La Cruz Oriah Elgrabli Jake Ryan Flynn Orson Hong Isabella Iannelli Jacob Michael Laval Suri Marrero Zell Steele Morrow Jonah Mussolino Lexi Perkel Linder Sutton,,Adam Epstein,Eli Bolin,A24 3 Arts Entertainment Petunia Pictures,Netflix,,70 minutes,United States,,,,John Mulaney Marika Sawyer,,"['December 24, 2019']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Ghost Stories,"['Karan Johar', 'Dibakar Banerjee', 'Zoya Akhtar', 'Anurag Kashyap']",,,"['Ronnie Screwvala', 'Ashi Dua']","['Sobhita Dhulipala', 'Mrunal Thakur', 'Avinash Tiwary', 'Janhvi Kapoor', 'Surekha Sikri', 'Raghuvir Yadav', 'Gulshan Devaiah', 'Pavail Gulati', 'Anish Bamne']","['Sylvester Fonseca', 'Tanay Satam', 'Kamaljeet Negi', 'Manu Anand', 'Mitesh Mirchandani', 'Ranjan Palit']",,,RSVP Movies Flying Unicorn Entertainment,Netflix,,144 minutes,India,,,,"['Karan Johar', 'Dibakar Banerjee', 'Zoya Akhtar', 'Isha Luthra', 'Avinash Sampath']",,['1 January 2020'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,A Fall from Grace,Tyler Perry,,,"['Mark E. Swinton', 'Will Areu']","['Crystal Fox', 'Phylicia Rashad', 'Bresha Webb', 'Mehcad Brooks', 'Cicely Tyson', 'Tyler Perry']",Terrence Burke,Larry Sexton,Jay Weigel,,Netflix,,120 minutes,United States,,,,Tyler Perry,Tyler Perry Studios,"['January 17, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Airplane Mode,César Rodrigues,,,['Luiz Noronha'],"['Larissa Manoela', 'Erasmo Carlos', 'Katiuscia Canoro', 'André Frambach', 'Dani Ornellas', 'Eike Duarte', 'Nayobe Nzainab']",,,,,Netflix,,95 minutes,Brazil,,,,"['Renato Fagundes', 'Alice Name-Bomtempo']",A Fábrica,['23 January 2020'],Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modo Avião,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Horse Girl,Jeff Baena,,,"['Mel Eslyn', 'Alana Carithers', 'Jeff Baena', 'Alison Brie']","['Alison Brie', 'Debby Ryan', 'John Reynolds', 'Molly Shannon', 'John Ortiz', 'Paul Reiser', 'Matthew Gray Gubler']",Sean McElwee,Ryan Brown,"['Josiah Steinbrick', 'Jeremy Zuckerman']",,Netflix,"['January 27, 2020 ', 'February 7, 2020 ']",103 minutes,United States,,,,"['Jeff Baena', 'Alison Brie']",Duplass Brothers Productions,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,To All the Boys: P.S. I Still Love You,Michael Fimognari,"['Sofia Alvarez', 'J. Mills Goodloe']",P.S. I Still Love You by Jenny Han,Matt Kaplan,"['Lana Condor', 'Noah Centineo', 'Jordan Fisher', 'Anna Cathcart', 'Janel Parrish', 'Ross Butler', 'Madeleine Arthur', 'Emilija Baranac', 'Trezzo Mahoro', 'Holland Taylor', 'Sarayu Blue', 'John Corbett']",Michael Fimognari,Joe Klotz,Joe Wong,"['Overbrook Entertainment', 'Awesomeness Films', 'Ace Entertainment']",Netflix,,102 minutes,United States,,$18 million,,,,"['February 12, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Isi & Ossi,Oliver Kienle,,,"['Uwe Schott', 'Stefan Arndt', 'Jorgo Narjes']","['Lisa Vicari', 'Dennis Mojen', 'Christina Hecke', 'Pegah Ferydoni']",Yoshi Heimrath,Knut Hake,Michael Kadelbach,,Netflix,,113 minutes,Germany,,,,Oliver Kienle,X-Filme Creative Pool,['14 February 2020 '],German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,The Last Thing He Wanted,Dee Rees,"['Marco Villalobos', 'Dee Rees']",The Last Thing He Wanted by Joan Didion,"['Cassian Elwes', 'Dee Rees']","['Anne Hathaway', 'Ben Affleck', 'Rosie Perez', 'Edi Gathegi', 'Mel Rodriguez', 'Toby Jones', 'Willem Dafoe']",Bobby Bukowski,Mako Kamitsuna,Tamar-kali,"['Elevated Films', 'Little Red Hen', 'The Fyzz Facility']",Netflix,"['January 27, 2020 ', 'February 21, 2020 ']",115 minutes,,,$100 million,,,,,English,"['United States', 'United Kingdom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Yeh Ballet,Sooni Taraporevala,,,Siddharth Roy Kapur,"['Julian Sands', 'Achintya Bose', 'Manish Chauhan']",Kartik Vijay,Antara Lahiri,,,Netflix,,117 min,,,,,Sooni Taraporevala,Roy Kapur Films,['21 February 2020'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,All the Bright Places,Brett Haley,"['Jennifer Niven', 'Liz Hannah']",All the Bright Places by Jennifer Niven,"['Paula Mazur', 'Mitchell Kaplan', 'Elle Fanning', 'Brittany Kahan-Ward', 'Doug Mankoff', 'Andrew Spaulding']","['Elle Fanning', 'Justice Smith', 'Alexandra Shipp', ""Kelli O'Hara"", 'Lamar Johnson', 'Virginia Gardner', 'Felix Mallard', 'Sofia Hasmik', 'Keegan-Michael Key', 'Luke Wilson']",Rob C. Givens,Suzy Elmiger,Keegan DeWitt,"['Echo Lake Entertainment', 'Mazur/Kaplan Company', 'Demarest Media']",Netflix,,108 minutes,United States,,,,,,"['February 28, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Guilty,Ruchi Narain,,,"['Karan Johar', 'Apoorva Mehta']","['Kiara Advani', 'Akansha Ranjan Kapoor', 'Gurfateh Pirzada', 'Taher Shabbir']",Andrew Boulter,Bodhaditya Banerjee,Ankur Tewari,,Netflix,,119 minutes,India,,,,"['Kanika Dhillon', 'Ruchi Narain', 'Atika Chohan']",Dharmatic Entertainment,['6 March 2020'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
