,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
178,The Trader,"A traveling trader provides a window into rural life in the Republic of Georgia, where potatoes are currency and ambition is crushed by poverty.","Documentary, Short",Parental Guidance,movie,23,2018-01-01,Tamta Gabrichidze,,Georgia,,2 wins & 1 nomination,"3,249",6.7
179,Ladies First,"An inspirational survival story of Deepika Kumari who, as a girl born on the roadside to abject poverty in rural India, went in search of food, stumbled upon archery, and within 4 years became the Number One archer in the World.","Documentary, Short, Sport",Parental Guidance,movie,40,2017-01-01,,Deepika Kumari,India,,12 wins & 2 nominations,525,7.1
180,Take Your Pills,"Every era gets the drug it deserves. In America today, where competition is ceaseless from school to the workforce and everyone wants a performance edge, Adderall and other prescription stimulants are the defining drugs of this ge...",Documentary,Mature Audiences,movie,87,2018-01-01,,"Ariana, Delaney, Jasper Holt-Teza",United States,,5 nominations,"5,574",6.3
181,"Ram Dass, Going Home","A profound and poetic encounter with cultural and spiritual icon Ram Dass, at his home on Maui toward the end of his life.","Documentary, Short",Not Rated,movie,31,2018-01-01,,,United States,Further Pictures,1 nomination,"1,166",7.0
182,Mercury 13,"After rigorous testing in 1961, a small group of skilled female pilots are asked to step aside when only men are selected for the spaceflight.",Documentary,Parental Guidance,movie,78,2018-01-01,"['David Sington', 'Heather Walsh']","Wally Funk, Rhea Woltman, Sarah Ratley",United States,Netflix,1 nomination,"1,256",7.0
183,The Rachel Divide,Rachel Dolezal becomes a social phenomenon when she passes herself off as an African American and becomes the head of her local N.A.A.C.P. chapter.,Documentary,Mature Audiences,movie,100,2018-01-01,Laura Brownson,"Rachel Dolezal, Franklin Dolezal, Izaiah Dolezal",United States,,1 nomination,"2,732",6.3
184,End Game,A secret Service agent and a news reporter investigate the conspiracy behind the assassination of the President.,"Action, Thriller",Mature Audiences,movie,40,2018-01-01,Rob Epstein Jeffrey Friedman,"Cuba Gooding Jr., Angie Harmon, James Woods","Germany, United States, Canada",Telling Pictures,1 win,"5,569",5.1
185,Recovery Boys,"In the heart of America's opioid epidemic, four men attempt to reinvent their lives and reenter society sober after years of drug abuse. Recovery Boys, from Academy Award nominated director Elaine McMillion Sheldon (Heroin(e)), is...",Documentary,Not Rated,movie,89,2018-01-01,,,United States,,,796,6.7
186,The Bleeding Edge,A look at the unforeseen consequences of advanced technological devices used in the medical field.,Documentary,Mature Audiences,movie,100,2018-01-01,Kirby Dick,"Robert Bridges, Angie Firmalino, Rita Redberg","Australia, United States",Chain Camera Pictures Shark Island Productions,2 wins & 2 nominations,"2,999",7.6
187,Zion,"A portrait of Zion Clark, a young wrestler who was born without legs and grew up in foster care.","Documentary, Short, Biography",Parental Guidance,movie,12,2018-01-01,Floyd Russ,"Zion Clark, Gilbert Donahue, Kimberly Clark",United States,,10 wins & 2 nominations,"1,357",7.1
188,City of Joy,"An American doctor, a British nurse and an illiterate Indian farmer join together to transform a Calcutta ghetto in this uplifting, inspirational movie starring Patrick Swayze and Pauline Collins.",Drama,Parental Guidance,movie,74,2016-01-01,,"Patrick Swayze, Pauline Collins, Om Puri","France, United Kingdom",,1 nomination,"5,505",6.5
189,Reversing Roe,"A deep historical look at one of the most controversial issues of our time, highlighting the abortion debate from various points along the ideological spectrum in a winding story of abortion in America.",Documentary,Mature Audiences,movie,99,2018-01-01,Ricki Stern Anne Sundberg,"Donna Howard, John Seago, Brigitte Amiri",United States,"['Lincoln Square Productions', 'UnbeliEVAble Entertainment', 'Break Thru Films']",2 nominations,"1,772",7.5
190,Quincy,"An intimate look into the life of icon Quincy Jones. A unique force in music and popular culture for 70 years, Jones has transcended racial and cultural boundaries; his story is inextricably woven into the fabric of America.","Documentary, Biography",Mature Audiences,movie,124,2018-01-01,Alan Hicks Rashida Jones,"Quincy Jones, Rashida Jones, Kareem Abdul-Jabbar",United States,TriBeCa Productions Quincy Jones Productions,Nominated for 1 Primetime Emmy. 7 wins & 9 nominations total,"4,827",7.6
191,Two Catalonias,"A documentary that tackles the ideological conflicts surrounding the December 21 election in the country, to the push for sovereignty and subsequent parliamentary declaration of independence and the aftermath.","Documentary, History, News",Mature Audiences,movie,116,2018-01-01,,"Luis María Anson, Inés Arrimadas, Elsa Artadi",Spain,,1 win,780,6.4
193,Feminists: What Were They Thinking?,Feminists: What Were They Thinking? takes aim at our current culture revealing all too vividly the urgent need for continued change.,Documentary,Not Rated,movie,86,2018-01-01,,"Bella Abzug, Laurie Anderson, Phyllis Chesler",United States,,,"2,419",7.1
194,ReMastered: Who Shot the Sheriff?,The violent political suppression of the roots reggae movement in Jamaica told through an investigation into Jamaican politics and the CIA's involvement in the mysterious shooting of Bob Marley.,"Documentary, Biography, Crime",Not Rated,movie,57,2018-01-01,,"Bob Marley, Arnold Bertram, Cindy Breakspeare",United States,,1 nomination,"1,580",6.9
195,Shirkers,A woman explores the events surrounding a film she and her friends began making with a mysterious stranger decades ago.,Documentary,Mature Audiences,movie,96,2018-01-01,Sandi Tan,"Jasmine Kin Kia Ng, Philip Cheah, Sophia Siddique Harvey","United States, United Kingdom",,8 wins & 31 nominations,"5,511",7.3
196,They'll Love Me When I'm Dead,"In the final fifteen years of the life of legendary director Orson Welles, he pins his Hollywood comeback hopes on a film, The Other Side of the Wind (2018), in itself a film about an aging film director trying to finish his last ...","Documentary, Biography",Mature Audiences,movie,98,2018-01-01,Morgan Neville,"Alan Cumming, Peter Bogdanovich, Oja Kodar",United States,"['Tremolo Productions', 'Royal Road Entertainment']",2 wins & 2 nominations,"5,339",7.4
197,ReMastered: Tricky Dick & the Man in Black,"Concerned by a rising rock-n-roll influence on a growing liberal fanbase, President Nixon invited Johnny Cash to the White House to solidify his base in the traditionally more conservative genre of country music. What Cash did ins...","Documentary, Biography",Not Rated,movie,59,2018-01-01,,"Johnny Cash, Richard Nixon, Aram Bakshian",United States,,1 nomination,"1,630",7.1
198,The American Meme,"Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires - and face the pitfalls of fame.",Documentary,Mature Audiences,movie,98,2018-01-01,Bert Marcus,"Kirill Bichutsky, Hailey Bieber, Amanda Cerny",United States,Bert Marcus Productions,,"14,771",6.1
199,ReMastered: Who Killed Jam Master Jay?,"Run DMC's Jam Master Jay was shot and killed in a Jamaica, Queens recording studio in 2002. Despite six witnesses present at the murder, no one has ever been convicted.",Documentary,Not Rated,movie,58,2018-01-01,,"Jam Master Jay, DJ Hurricane, Rahman Dukes",,,,863,6.5
200,"Out of Many, One","The United States has long offered a promise of opportunity and safety to arriving immigrants - The American Dream. However, currently facing a time of deep political, social, and cultural divide, immigration has become a divisive...","Documentary, Short",Not Rated,movie,34,2018-01-01,John Hoffman Nanfu Wang,,United States,,,275,5.8
201,Struggle: The Life and Lost Art of Szukalski,"This documentary chronicles the life of Polish-American artist Stanislav Szukalski (1893-1987) from his early years in Chicago, to his time in Poland and Los Angeles, and his artistic and political contributions to the world.","Documentary, Biography",Mature Audiences,movie,115,2018-01-01,,"Stanislav Szukalski, Glenn Bray, Robert Williams","Poland, United States",,,"4,513",7.9
202,Surviving Twin,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.,"Documentary, Music",Mature Audiences,movie,91,2018-01-01,,Loudon Wainwright III,United States,Netflix,,106,7.1
203,Angela's Christmas,"Set in Ireland in the 1910s, 'Angela's Christmas' is a funny, heart-warming and poignant story about the power of family and the innocent desire of a child to ensure everyone is safe, warm and loved at Christmas time.","Animation, Short, Adventure",General Audiences,movie,30,2017-01-01,,"Malachy McCourt, Ruth Negga, Vivian Drew","Ireland, Canada",Brown Bag Films 9 Story,6 nominations,"3,268",7.0
206,Lionheart,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,"Action, Crime, Drama",Mature Audiences,movie,95,2018-01-01,Genevieve Nnaji,"Jean-Claude Van Damme, Harrison Page, Deborah Rennard",United States,The Entertainment Network ,,"38,600",6.2
207,The Last Laugh,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",Drama,Not Rated,movie,98,1925-01-01,Greg Pritikin,"Emil Jannings, Maly Delschaft, Max Hiller",Germany,Netflix Paris Film,,"14,784",8.0
208,Io,"As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.","Adventure, Drama, Sci-Fi",Mature Audiences,movie,96,2019-01-01,Jonathan Helpert,"Margaret Qualley, Anthony Mackie, Danny Huston",United States,"['Mandalay Pictures', 'Sunset Junction Entertainment', 'Untitled Entertainment', 'Great Point Media']",1 nomination,"35,703",4.8
209,Soni,"While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.","Crime, Drama",Mature Audiences,movie,97,2018-01-01,Ivan Ayr,"Geetika Vidya Ohlyan, Saloni Batra, Vikas Shukla",India,Jabberwockee Talkies The Film Cafe Production,7 wins & 10 nominations,"2,969",7.1
210,Polar,"A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.","Action, Thriller",Mature Audiences,movie,118,2019-01-01,Jonas Åkerlund,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick","United States, Germany","['Constantin Film', 'JB Pictures', 'Dark Horse Entertainment']",1 nomination,"96,065",6.3
211,Velvet Buzzsaw,"A thriller about the contemporary art scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce.","Horror, Mystery, Thriller",Mature Audiences,movie,113,2019-01-01,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton","United States, Canada",['Netflix'],1 win & 3 nominations,"64,562",5.7
212,High Flying Bird,"During a pro basketball lockout, a sports agent pitches a rookie basketball client on an intriguing and controversial business proposition.","Drama, Sport",Mature Audiences,movie,91,2019-01-01,Steven Soderbergh,"André Holland, Melvin Gregg, Eddie Tavares",United States,"['Extension 765', 'Harper Road Films']",7 nominations,"9,100",6.2
213,Firebrand,"The ups and downs of modern-day relationship take the spotlight in this contemporary, slice-of-life story.",Drama,Not Rated,movie,116,2019-01-01,Aruna Raje,"Usha Jadhav, Girish Kulkarni, Sachin Khedekar",India,Purple Pebble Pictures,1 nomination,299,5.2
214,Paris Is Us,Anna misses the flight she should have taken to find Greg in Barcelona. The plane crashes.,Drama,Not Rated,movie,83,2019-01-01,,"Noémie Schmidt, Grégoire Isvarine, Marie Mottet",France,,2 nominations,"1,490",4.6
215,Paddleton,An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.,"Comedy, Drama",Mature Audiences,movie,89,2019-01-01,Alex Lehmann,"Christine Woods, Mark Duplass, Ray Romano",United States,['Duplass Brothers Productions'],3 nominations,"14,968",7.1
216,Walk. Ride. Rodeo.,A courageous teenager is determined to resume competitive rodeo months after her paralyzing spinal cord injury.,"Biography, Drama, Sport",Parental Guidance,movie,99,2019-01-01,Conor Allyn,"Spencer Locke, Missi Pyle, Bailey Chase",United States,"['Poke Prod', 'Netflix']",,"2,681",6.4
217,Juanita,"Fed up with her life, Juanita leaves her grown kids behind and hits the road in search of a fresh start.",Drama,Mature Audiences,movie,90,2019-01-01,Clark Johnson,"Alfre Woodard, Bonnie Johnson, Jordan Nia Elizabeth",United States,"['Homegrown Pictures', 'Mandalay Pictures']",1 win & 2 nominations,"2,532",6.0
218,Triple Frontier,"Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.","Action, Thriller",Mature Audiences,movie,125,2019-01-01,J. C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam",United States,Atlas Entertainment,3 nominations,"139,327",6.5
219,Altered Carbon: Resleeved,"On the planet Latimer, reawakened Takeshi Kovacs must protect a teenage tattooist named Holly while investigating the death of a yakuza boss alongside Gina, a strangely familiar no-nonsense CTAC agent.","Animation, Action, Crime",Mature Audiences,movie,74,2020-01-01,"['Takeru Nakajima', 'Yoshiyuki Okada']","Ray Chase, Doug Stone, Kaiji Tang","Japan, United States",Anima,,"6,680",6.4
220,The Dirt,"Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.","Biography, Comedy, Drama",Mature Audiences,movie,108,2019-01-01,Jeff Tremaine,"Douglas Booth, Iwan Rheon, Colson Baker",United States,"['10th Street Entertainment', 'LBI Entertainment']",1 win,"53,580",7.0
221,The Highwaymen,The untold true story of the legendary detectives who brought down Bonnie and Clyde.,"Biography, Crime, Drama",Mature Audiences,movie,132,2019-01-01,John Lee Hancock,"Kevin Costner, Woody Harrelson, Kathy Bates",United States,Casey Silver Productions,3 nominations,"98,360",6.9
222,15 August,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",Drama,Not Rated,movie,124,2019-01-01,Swapnaneel Jaykar,"Abhishek Deshmukh, Mrunmayee Deshpande, Namrata Kadam",India,,,304,5.9
223,Unicorn Store,"Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.","Comedy, Drama, Fantasy",Parental Guidance,movie,92,2017-01-01,Brie Larson,"Brie Larson, Samuel L. Jackson, Joan Cusack",United States,"['Rhea Films', 'The District', 'Rip Cord Productions', 'Sycamore Pictures', 'Hercules Film Fund', '51 Entertainment']",2 nominations,"20,357",5.6
224,Who Would You Take to a Deserted Island?,Four friends have lived in a world of their own for 8 years as they shared a flat in Madrid. They prepare to face changes to their lives at the end of the summer.,Drama,Mature Audiences,movie,93,2019-01-01,Jota Linares,"Pol Monen, Jaime Lorente, Andrea Ros",Spain,,1 win & 2 nominations,"2,638",5.3
225,The Perfect Date,"To save up for college, Brooks Rattigan creates an app where anyone can pay him to play the perfect stand-in boyfriend for any occasion.","Comedy, Romance",Mature Audiences,movie,90,2019-01-01,Chris Nelson,"Noah Centineo, Laura Marano, Odiseas Georgiadis",United States,"['Ace Entertainment', 'AwesomenessFilms']",3 wins & 2 nominations,"41,882",5.8
226,Someone Great,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship.","Comedy, Romance",Mature Audiences,movie,92,2019-01-01,Jennifer Kaytin Robinson,"Gina Rodriguez, LaKeith Stanfield, Brittany Snow",United States,"['Feigco Entertainment', 'Likely Story', 'I Can & I Will Productions']",,"24,445",6.2
227,Music Teacher,A dejected small-town music teacher grapples with guilt and regret when his ex-pupil who once loved him returns home as the star he always wanted to be.,"Drama, Romance",Not Rated,movie,101,2019-01-01,Sarthak Dasgupta,"Neena Gupta, Divya Dutta, Manav Kaul",India,"['Saregama India', 'Yoodlee films']",,721,6.2
228,Despite Everything,"Four different sisters who all have their own little secrets attend their mother's funeral in Madrid, where the will reveals that their dad was not their biological father, so they go on a quest together seeking their biological f...",Comedy,Mature Audiences,movie,78,2019-01-01,Gabriela Tagliavini,"Blanca Suárez, Macarena García, Amaia Salamanca",Spain,"['Bambú Producciones', 'Cinephile Pictures']",,"5,376",5.4
229,The Last Summer,"Standing on the precipice of adulthood, a group of friends navigate new relationships, while reexamining others, during their final summer before college.","Comedy, Romance",Mature Audiences,movie,110,2019-01-01,William Bindley,"K.J. Apa, Maia Mitchell, Norman Johnson Jr.",United States,Gulfstream Pictures,3 nominations,"14,004",5.5
230,Wine Country,"During a vacation to Napa Valley, a group of long time friends reunite and revisit past choices in this hilarious and heartfelt comedy from director Amy Poehler.","Adventure, Comedy, Drama",Mature Audiences,movie,103,2019-01-01,Amy Poehler,"Amy Poehler, Rachel Dratch, Ana Gasteyer",United States,"['Paper Kite Productions', 'Paper Pictures', 'Dunshire Productions']",1 nomination,"22,453",5.5
231,Good Sam,"When a mysterious good samaritan leaves $100,000 cash on seemingly random doorsteps, New York City news reporter Kate Bradley sets out to discover the true identity and motive of ""Good Sam.""","Comedy, Drama, Romance",Parental Guidance,movie,90,2019-01-01,,"Tiya Sircar, Chad Connell, Marco Grazzini",United States,"['Muse Entertainment', 'Wind Dancer Films']",,"3,245",5.7
232,See You Yesterday,"Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build makeshift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer.","Action, Adventure, Crime",Mature Audiences,movie,87,2019-01-01,Stefon Bristol,"Eden Duncan-Smith, Dante Crichlow, Astro",United States,40 Acres and a Mule Filmworks,2 wins & 2 nominations,"11,378",5.3
233,Rim of the World,Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.,"Action, Adventure, Comedy",Mature Audiences,movie,98,2019-01-01,McG,"Jack Gore, Miya Cech, Benjamin Flores Jr.",United States,"['Wonderland Sound and Vision', 'Circle Of Confusion']",,"24,741",5.2
234,The Perfection,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.","Drama, Horror, Music",Mature Audiences,movie,90,2018-01-01,Richard Shepard,"Marie Maskell, Allison Williams, Christina Jastrzembska","United States, Canada","['Miramax', 'Capstone Film Group']",3 wins,"47,736",6.2
235,Always Be My Maybe,"Everyone assumed that Sasha and Marcus would wind up together, except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder--maybe?","Comedy, Romance",Parental Guidance,movie,102,2019-01-01,Nahnatchka Khan,"Ali Wong, Randall Park, James Saito",United States,Good Universe,1 win & 5 nominations,"60,955",6.8
236,Chopsticks,A gifted but insecure woman is in for a transformative experience when she enlists an enigmatic con to help recover her stolen car from a Mumbai thug.,"Comedy, Drama",Not Rated,movie,100,2019-01-01,Sachin Yardi,"Abhay Deol, Mithila Palkar, Vijay Raaz",India,Viniyard Productions,,"5,066",6.5
237,Elisa & Marcela,,Short,Not Rated,movie,99,2019-01-01,Isabel Coixet,"Anna Carvalho, Nuno Nunes, André Santos",Portugal,"['Movies Production 2017 AIE', 'Zenit Televisión', 'Lanube Películas', 'Rodar y Rodar']",,12,8.9
238,Pachamama,A young boy living in a remote village in the Andes Mountains dreams of becoming shaman.,"Animation, Adventure, Family",Parental Guidance,movie,72,2018-01-01,Juan Antin,"Andrea Santamaria, India Coenen, Saïd Amadis","France, Luxembourg, Canada",Folivari,2 nominations,975,6.8
239,Murder Mystery,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","Action, Comedy, Crime",Parental Guidance,movie,97,2019-01-01,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans","United States, Italy, Canada","['Happy Madison Productions', 'Endgame Entertainment', 'Vinson Films', 'Tower Hill Entertainment', 'Mythology Entertainment', 'Denver and Delilah Productions']",1 win & 6 nominations,"160,975",6.0
240,Beats,"A reclusive teenage musical prodigy forms an unlikely friendship with a down-on-his-luck high school security guard. United by their mutual love of hiphop, they confront the demons of their past and try to break into Chicago's mus...",Drama,Mature Audiences,movie,110,2019-01-01,Chris Robinson,"Khalil Everage, Evan J. Simpson, Ashley Jackson",United States,"['Global Road Entertainment', '51 Minds Entertainment', 'Endemol Shine North America']",1 nomination,"5,787",6.4
241,Point Blank,"After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him.","Crime, Drama, Thriller",Not Rated,movie,87,1967-01-01,Joe Lynch,"Lee Marvin, Angie Dickinson, Keenan Wynn",United States,"['Gaumont Film Company', 'WarParty']",1 win,"22,552",7.3
242,Secret Obsession,"Recuperating from trauma, Jennifer remains in danger as she returns to a life she doesn't remember.","Crime, Drama, Mystery",Mature Audiences,movie,97,2019-01-01,Peter Sullivan,"Brenda Song, Mike Vogel, Dennis Haysbert",United States,['Hybrid Films'],,"23,224",4.5
243,The Red Sea Diving Resort,Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.,"Drama, History, Thriller",Mature Audiences,movie,130,2019-01-01,Gideon Raff,"Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams",Canada,"['Bron Studios', 'EMJAG Productions', 'Shaken Not Stirred']",,"31,507",6.6
244,Otherhood,"A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most i...",Comedy,Mature Audiences,movie,100,2019-01-01,Cindy Chupack,"Angela Bassett, Patricia Arquette, Felicity Huffman","United Kingdom, United States","['Mandalay Pictures', 'Welle Entertainment']",1 win,"12,127",6.1
246,Invader Zim: Enter the Florpus,"ZIM discovers his almighty leaders never had any intention of coming to Earth and he loses confidence in himself for the first time in his life, which is the big break his human nemesis, Dib has been waiting for.","Animation, Action, Adventure",General Audiences,movie,71,2019-01-01,"['Hae Young Jung', 'Young Kyun Park', 'Jhonen Vasquez']","Richard Steven Horvitz, Rikki Simons, Andy Berman","South Korea, United States",Nickelodeon Animation Studio Maven Image Platform ,3 nominations,"6,310",7.4
247,Sextuplets,Father-to-be Alan is shocked to learn that he was born a sextuplet. He and his newfound brother Russell set out on a hilarious journey to reunite with their other long-lost siblings.,Comedy,Mature Audiences,movie,99,2019-01-01,Michael Tiddes,"Marlon Wayans, Bresha Webb, Michael Ian Black",United States,"['Ugly Baby Productions', 'Wayans Alvarez Productions']",,"9,254",4.5
248,Falling Inn Love,"When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.","Comedy, Romance",Parental Guidance,movie,98,2019-01-01,Roger Kumble,"Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman",United States,MarVista Entertainment,,"21,619",5.6
249,Back to School,"To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself.","Comedy, Romance, Sport",Parental Guidance,movie,96,1986-01-01,,"Rodney Dangerfield, Sally Kellerman, Burt Young",United States,2425 Films,1 win & 2 nominations,"35,016",6.6
250,Tall Girl,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand t...","Comedy, Drama, Family",Parental Guidance,movie,102,2019-01-01,Nzingha Stewart,"Ava Michelle, Griffin Gluck, Sabrina Carpenter",United States,Wonderland Sound and Vision,2 wins & 1 nomination,"25,924",5.2
251,Between Two Ferns: The Movie,Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,Comedy,Mature Audiences,movie,83,2019-01-01,Scott Aukerman,"Zach Galifianakis, Matthew McConaughey, Rekha Shankar",United States,Funny or Die Billios Productions,Nominated for 1 Primetime Emmy. 1 win & 2 nominations total,"35,660",6.1
252,In the Shadow of the Moon,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,"Action, Crime, Mystery",Mature Audiences,movie,115,2019-01-01,Jim Mickle,"Boyd Holbrook, Cleopatra Coleman, Bokeem Woodbine","United States, Canada","['42', 'Automatik', 'Nightshade']",2 nominations,"58,350",6.2
253,In the Tall Grass,"After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Oklahoma but soon discover there may be no way out...and that something evil lurks within.","Horror, Mystery, Sci-Fi",Mature Audiences,movie,90,2019-01-01,Vincenzo Natali,"Laysla De Oliveira, Avery Whitted, Patrick Wilson","Canada, United States","['Copperheart Entertainment', 'Netflix']",2 wins & 3 nominations,"61,828",5.5
254,El Camino: A Breaking Bad Movie,"Fugitive Jesse Pinkman runs from his captors, the law, and his past.","Action, Crime, Drama",Mature Audiences,movie,122,2019-01-01,Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones",United States,"['Sony Pictures Television', 'Gran Vía Productions', 'High Bridge Productions']",Nominated for 4 Primetime Emmys. 4 wins & 24 nominations total,"278,363",7.3
255,Fractured,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.","Drama, Mystery, Thriller",Mature Audiences,movie,100,2019-01-01,Brad Anderson,"Sam Worthington, Lily Rabe, Lucy Capri",United States,"['Koji Productions', 'Crow Island Films', 'Macari/Edelstein', 'Paul Schiff Productions']",3 nominations,"87,030",6.4
256,The Forest of Love,"A small group of student filmmakers and a shy young girl with strict parents are simultaneously manipulated, seduced and abused by an older man. They follow his bidding, even when murder is involved.","Crime, Drama, Horror",Mature Audiences,movie,151,2019-01-01,['Sion Sono'],"Kippei Shîna, Shinnosuke Mitsushima, Kyoko Hinami","Japan, United States",,,"2,831",6.3
257,Street Flow,Three brothers try to survive on the streets of a tough French suburb.,"Crime, Drama",Mature Audiences,movie,96,2019-01-01,"['Leïla Sy', 'Kery James']","Kery James, Jammeh Diangana, Bakary Diombera",France,"['Srab Films', 'Les Films Velvet', 'L’Insensé Films']",,"1,682",6.4
258,Eli,A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.,"Drama, Horror, Mystery",Mature Audiences,movie,98,2019-01-01,Ciarán Foy,"Charlie Shotwell, Kelly Reilly, Max Martini",United States,"['Paramount Pictures', 'Paramount Players', 'MTV Films', 'Intrepid Pictures', 'Bellevue Productions']",2 nominations,"39,374",5.8
259,Seventeen,"To find a shelter dog he befriended, a 17-year-old boy escapes a juvenile detention center and is joined on his quest by his older brother.",Drama,Mature Audiences,movie,99,2019-01-01,['Daniel Sánchez Arévalo'],"Biel Montoro, Nacho Sánchez, Lola Cordón",Spain,['Atípica Films'],2 wins & 6 nominations,"4,416",7.2
260,The Laundromat,"A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.","Comedy, Crime, Drama",Mature Audiences,movie,95,2019-01-01,Steven Soderbergh,"Gary Oldman, Antonio Banderas, AJ Meijer",United States,"['Anonymous Content', 'Grey Matter Productions', 'Topic Studios', 'Sugar23']",8 nominations,"53,720",6.3
261,Upstarts,"Hoping to do good while making millions, three graduates create a startup. But as business begins to flourish, their own bond starts to fray.",Drama,Not Rated,movie,112,2019-01-01,Udai Singh Pawar,"Naved Aslam, Sandeep Bhardwaj, Ranjit Deval",India,Bandra West Pictures,,921,6.7
262,Dolemite Is My Name,"Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.","Biography, Comedy, Drama",Mature Audiences,movie,118,2019-01-01,Craig Brewer,"Eddie Murphy, Keegan-Michael Key, Mike Epps",United States,Davis Entertainment,30 wins & 67 nominations,"63,653",7.2
263,Rattlesnake,"When a single mother accepts the help of a mysterious woman after her daughter is bitten by a rattlesnake, she finds herself making an unthinkable deal with the devil to repay the stranger.","Drama, Horror, Mystery",Mature Audiences,movie,85,2019-01-01,['Zak Hilditch'],"Carmen Ejogo, Theo Rossi, Emma Greenwell",United States,"['Campfire', 'Netflix']",1 nomination,"9,200",4.7
264,The King,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past ...","Biography, Drama, History",Mature Audiences,movie,140,2019-01-01,David Michôd,"Tom Glynn-Carney, Gábor Czap, Tom Fisher","United Kingdom, Hungary, United States, Australia","['Plan B Entertainment', 'Blue-Tongue Films', 'Porchlight Films']",12 wins & 28 nominations,"143,406",7.3
265,American Son,An estranged couple reunite in a Florida police station to help find their missing teenage son.,Drama,Mature Audiences,movie,90,2019-01-01,['Kenny Leon'],"Kerry Washington, Steven Pasquale, Jeremy Jordan",United States,Simpson Street,Nominated for 1 Primetime Emmy. 7 nominations total,"7,418",5.9
