,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
26,Burning Sands,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",Drama,Mature Audiences,movie,102,2017-01-01,Gerard McMurray,"Trevor Jackson, Tosin Cole, DeRon Horton",United States,"['Mandalay Pictures', 'Homegrown Pictures', 'Hudlin Entertainment', 'Freedom Road Productions']",4 nominations,"2,999",6.0
27,Deidra & Laney Rob a Train,"After their mother ends up in jail, two sisters turn to train robbery in order to support their family.","Comedy, Crime, Drama",Mature Audiences,movie,92,2017-01-01,Sydney Freeland,"Ashleigh Murray, Rachel Crow, Lance Gray",United States,['Netflix'],1 nomination,"2,043",6.0
28,The Most Hated Woman in America,"The life of Madelyn Murray O'Hair, the outspoken activist and founder of American Atheists.","Biography, Drama, History",Mature Audiences,movie,91,2017-01-01,Tommy O'Haver,"Melissa Leo, Brandon Mychal Smith, Juno Temple",United States,"['Brownstone Productions', 'Untitled Entertainment']",,"7,146",6.1
29,The Discovery,"Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.","Drama, Romance, Sci-Fi",Mature Audiences,movie,102,2017-01-01,Charlie McDowell,"Robert Redford, Mary Steenburgen, Brian McCarthy",United States,"['Endgame Entertainment', 'Protagonist Pictures', 'A-Lo Films']",,"36,572",6.2
30,Win It All,"A small-time gambler agrees to stash a bag for an acquaintance who is heading to prison. When he discovers cash in the bag, he can't resist the urge to dip into the funds.",Comedy,Mature Audiences,movie,90,2017-01-01,Joe Swanberg,"Jake Johnson, Rony Shemon, Morgan Ng",United States,"['Forager Films', 'Garrett Doubles Down']",,"10,009",6.2
31,Sandy Wexler,"Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.",Comedy,Mature Audiences,movie,131,2017-01-01,Steve Brill,"Adam Sandler, Jennifer Hudson, Kevin James",United States,Happy Madison Productions,1 win & 2 nominations,"18,350",5.2
32,Sand Castle,"The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction and horrors of war.","Action, Drama, War",Mature Audiences,movie,113,2017-01-01,Fernando Coimbra,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill",United States,"['42', 'Treehouse Pictures']",,"26,012",6.3
33,Tramps,A young man and woman find love in an unlikely place while carrying out a shady deal.,"Adventure, Romance",Not Rated,movie,83,2016-01-01,Adam Leon,"Callum Turner, Grace Van Patten, Michal Vondel",United States,"['Animal Kingdom', 'Rooks Nest Entertainment']",,"6,062",6.5
34,Small Crimes,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.","Crime, Drama, Thriller",Mature Audiences,movie,95,2017-01-01,Evan Katz,"Nikolaj Coster-Waldau, Robert Forster, Jacki Weaver","United States, Canada","['Rooks Nest Entertainment', 'Fairmount Films', 'Rumble Films']",,"8,672",5.8
35,Handsome,Two brothers embark on a worldwide journey to discover what it's like for other siblings living with Down's syndrome.,Documentary,Not Rated,movie,81,2021-01-01,Jeff Garlin,"Alexander Bourne, Nicholas Bourne, Amber Maillard",United Kingdom,JZM Films,,14,
36,Blame!,"In the distant future, humans are declared ""illegal residents"" and hunted to near extinction by murderous robots. One day, a group of human scavengers come across a strange man named Killy, who may be the key to humanity's survival.","Animation, Action, Drama",Mature Audiences,movie,106,2017-01-01,Hiroyuki Seshita,"Takahiro Sakurai, Kana Hanazawa, Sora Amamiya",Japan,Polygon Pictures,,"8,760",6.6
37,War Machine,"An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan.","Comedy, Drama, War",Mature Audiences,movie,122,2017-01-01,David Michôd,"Brad Pitt, Daniel Betts, John Magaro",United States,"['Plan B Entertainment', 'Blue-Tongue Films']",3 nominations,"49,143",6.0
38,Shimmer Lake,An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,"Action, Comedy, Crime",Not Rated,movie,83,2017-01-01,Oren Uziel,"Benjamin Walker, Rainn Wilson, Stephanie Sigman","Canada, United States","['Footprint Features', 'Writ Large']",,"16,172",6.3
39,Okja,"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.","Action, Adventure, Drama",Mature Audiences,movie,120,2017-01-01,Bong Joon-ho,"Tilda Swinton, Paul Dano, Seo-hyun Ahn","South Korea, United States","['Plan B Entertainment', 'Lewis Pictures', 'Kate Street Picture Company']",7 wins & 14 nominations,"128,743",7.3
40,To the Bone,"A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.",Drama,Mature Audiences,movie,108,2017-01-01,Marti Noxon,"Rebekah Kennedy, Lily Collins, Dana L. Wilson",United States,"['AMBI Group', 'Sparkhouse Media', 'Foxtail Entertainment', 'Mockingbird Pictures', 'To The Bone Productions']",2 nominations,"53,064",6.8
