,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
238,In the Shadow of the Moon,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,"Action, Crime, Mystery",Mature Audiences,115,2019-01-01,Jim Mickle,"Boyd Holbrook, Cleopatra Coleman, Bokeem Woodbine",United States,1,42,1,0,2,58350,6.2
239,In the Tall Grass,"After hearing a young boy's cry for help, a sister and brother venture into a vast field of tall grass in Oklahoma but soon discover there may be no way out...and that something evil lurks within.","Horror, Mystery, Sci-Fi",Mature Audiences,90,2019-01-01,Vincenzo Natali,"Laysla De Oliveira, Avery Whitted, Patrick Wilson",Canada,1,Copperheart Entertainment,1,2,3,61828,5.5
240,El Camino: A Breaking Bad Movie,"Fugitive Jesse Pinkman runs from his captors, the law, and his past.","Action, Crime, Drama",Mature Audiences,122,2019-01-01,Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones",United States,0,Sony,1,4,24,278363,7.3
241,Fractured,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.","Drama, Mystery, Thriller",Mature Audiences,100,2019-01-01,Brad Anderson,"Sam Worthington, Lily Rabe, Lucy Capri",United States,0,Koji Productions,1,0,3,87030,6.4
242,The Forest of Love,"A small group of student filmmakers and a shy young girl with strict parents are simultaneously manipulated, seduced and abused by an older man. They follow his bidding, even when murder is involved.","Crime, Drama, Horror",Mature Audiences,151,2019-01-01,Sion Sono,"Kippei Shîna, Shinnosuke Mitsushima, Kyoko Hinami",Japan,1,No Production Company Listed,1,0,0,2831,6.3
243,Street Flow,Three brothers try to survive on the streets of a tough French suburb.,"Crime, Drama",Mature Audiences,96,2019-01-01,Leïla Sy,"Kery James, Jammeh Diangana, Bakary Diombera",France,0,Srab Films,1,0,0,1682,6.4
244,Eli,A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.,"Drama, Horror, Mystery",Mature Audiences,98,2019-01-01,Ciarán Foy,"Charlie Shotwell, Kelly Reilly, Max Martini",United States,0,Paramount Pictures,1,0,2,39374,5.8
245,Seventeen,"To find a shelter dog he befriended, a 17-year-old boy escapes a juvenile detention center and is joined on his quest by his older brother.",Drama,Mature Audiences,99,2019-01-01,Daniel Sánchez Arévalo,"Biel Montoro, Nacho Sánchez, Lola Cordón",Spain,0,Atípica Films,0,2,6,4416,7.2
246,The Laundromat,"A widow investigates an insurance fraud, chasing leads to a pair of Panama City law partners exploiting the world's financial system.","Comedy, Crime, Drama",Mature Audiences,95,2019-01-01,Steven Soderbergh,"Gary Oldman, Antonio Banderas, AJ Meijer",United States,0,Anonymous Content,1,0,8,53720,6.3
247,Upstarts,"Hoping to do good while making millions, three graduates create a startup. But as business begins to flourish, their own bond starts to fray.",Drama,Not Rated,112,2019-01-01,Udai Singh Pawar,"Naved Aslam, Sandeep Bhardwaj, Ranjit Deval",India,0,Bandra West Pictures,0,0,0,921,6.7
248,Dolemite Is My Name,"Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene, kung-fu fighting alter ego, Dolemite, became a 1970s Blaxploitation phenomenon.","Biography, Comedy, Drama",Mature Audiences,118,2019-01-01,Craig Brewer,"Eddie Murphy, Keegan-Michael Key, Mike Epps",United States,0,Davis Entertainment,0,30,67,63653,7.2
249,Rattlesnake,"When a single mother accepts the help of a mysterious woman after her daughter is bitten by a rattlesnake, she finds herself making an unthinkable deal with the devil to repay the stranger.","Drama, Horror, Mystery",Mature Audiences,85,2019-01-01,Zak Hilditch,"Carmen Ejogo, Theo Rossi, Emma Greenwell",United States,0,Campfire,1,0,1,9200,4.7
250,The King,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past ...","Biography, Drama, History",Mature Audiences,140,2019-01-01,David Michôd,"Tom Glynn-Carney, Gábor Czap, Tom Fisher",United Kingdom,1,Plan B Entertainment,1,12,28,143406,7.3
251,American Son,An estranged couple reunite in a Florida police station to help find their missing teenage son.,Drama,Mature Audiences,90,2019-01-01,Kenny Leon,"Kerry Washington, Steven Pasquale, Jeremy Jordan",United States,0,Simpson Street,0,0,7,7418,5.9
252,Drive,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,"Action, Drama",Mature Audiences,119,2011-01-01,Tarun Mansukhani,"Ryan Gosling, Carey Mulligan, Bryan Cranston",United States,0,Dharma Productions,0,79,180,683436,7.8
253,Holiday in the Wild,"Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent solo and meets an elephant conservationist.","Comedy, Drama, Romance",Parental Guidance,86,2019-01-01,Ernie Barbarash,"Rob Lowe, Kristin Davis, Fezile Mpela",United States,0,MPCA,0,0,0,16524,6.2
254,Let It Snow,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.","Comedy, Romance",Parental Guidance,92,2019-01-01,Luke Snellin,"Isabela Merced, Shameik Moore, Odeya Rush",United States,0,Dylan Clark Productions,0,0,1,23847,5.8
255,Earthquake Bird,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.","Crime, Drama, Mystery",Mature Audiences,107,2019-01-01,Wash Westmoreland,"Alicia Vikander, Kiki Sukezane, Kenichi Masuda",United Kingdom,1,Scott Free Productions,1,0,0,15487,6.0
256,House Arrest,"Desperate to keep their various parents from getting divorced, a group of teenagers kidnaps them and holds them prisoner in a basement to force them to reconcile.","Comedy, Family",Parental Guidance,104,1996-01-01,Samit Basu,"Jamie Lee Curtis, Kevin Pollak, Kyle Howard",United States,0,India Stories,0,0,1,9096,5.8
257,Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation, Adventure, Comedy",Parental Guidance,97,2019-01-01,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones",Spain,1,Netflix,1,11,26,171989,8.2
258,The Knight Before Christmas,A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,"Adventure, Comedy, Drama",Parental Guidance,92,2019-01-01,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui",United States,0,MPCA,1,1,2,19360,5.6
259,The Irishman,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.","Biography, Crime, Drama",Mature Audiences,209,2019-01-01,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,0,Tribeca Productions,1,73,356,413838,7.8
260,Holiday Rush,"After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.","Comedy, Drama, Family",Parental Guidance,94,2019-01-01,Leslie Small,"Romany Malco, Sonequa Martin-Green, Darlene Love",United States,0,Poke Prod Production,0,0,3,3005,4.9
261,I Lost My Body,"A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.","Animation, Drama, Fantasy",Mature Audiences,81,2019-01-01,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao",France,0,Xilam Animation,0,32,55,35402,7.5
262,Dead Kids,A socially awkward teen bonds with a group of misfits who plot to abduct the schools arrogant rich kid until their kidnapping scheme turns deadly.,Thriller,Mature Audiences,94,2019-01-01,Mikhail Red,"Kelvin Miranda, Vance Larena, Khalil Ramos",Philippines,1,Globe Studios,1,0,0,641,5.5
263,A Christmas Prince: The Royal Baby,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their f...","Family, Romance",Parental Guidance,85,2019-01-01,John Schultz,"Rose McIver, Ben Lamb, Alice Krige",United States,0,MPCA,0,0,0,7453,5.4
264,Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Drama, Romance",Mature Audiences,137,2019-01-01,Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer",United Kingdom,1,Heyday Films,0,127,271,333113,7.9
265,6 Underground,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","Action, Thriller",Mature Audiences,128,2019-01-01,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo",United States,0,Skydance,1,2,12,190543,6.1
266,The Two Popes,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.","Biography, Comedy, Drama",Parental Guidance,125,2019-01-01,Fernando Meirelles,"Jonathan Pryce, Anthony Hopkins, Juan Minujín",United Kingdom,1,Rideback,0,11,57,130117,7.6
267,Como caído del cielo,Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.,"Comedy, Drama, Musical",Mature Audiences,112,2019-01-01,José Pepe Bojórquez,"Omar Chaparro, Ana Claudia Talancón, Stephanie Cayo",Mexico,0,Caldera/De Fanti Entertainment,1,0,0,1544,6.5
268,The App,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.","Drama, Sci-Fi, Thriller",Not Rated,79,2019-01-01,Elisa Fuksas,"Salvatore Costa, Vincenzo Crea, Jessica Cressy",Italy,0,Indiana Production Company,1,0,0,1408,2.8
269,ReMastered: Massacre at the Stadium,"This documentary questions who killed Victor Jara, Chilean musician and activist who died during the dictatorship in his country.","Documentary, Drama",Mature Audiences,64,2019-01-01,B.J. Perlmutt Bent-Jorgen Perlmutt,"Víctor Jara, Joan Jara, Pascale Bonnefoy",United States,0,No Production Company Listed,1,0,2,846,7.3
270,Fyre,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,"Documentary, Crime, Music",Mature Audiences,97,2019-01-01,Chris Smith,"Billy McFarland, Jason Bell, Gabrielle Bluestone",United States,0,Jerry Media,1,0,6,50701,7.2
271,ReMastered: The Two Killings of Sam Cooke,An investigation into the circumstances and controversy surrounding Sam Cooke's murder.,"Documentary, Music",Mature Audiences,74,2019-01-01,Kelly Duane,"Sam Cooke, Quincy Jones, Smokey Robinson",United States,0,No Production Company Listed,1,0,1,2403,7.2
272,Period. End of Sentence.,Indian women fight the stigma surrounding menstruation and begin manufacturing sanitary pads.,"Documentary, Short",Parental Guidance,25,2018-01-01,Rayka Zehtabchi,"Ajeya, Anita, Gouri Choudari",United States,0,No Production Company Listed,1,13,1,6338,7.4
273,ReMastered: The Miami Showband Massacre,"In 1974, while on the way home from a gig, the apolitical rock group, The Miami Showband, fell into the crosshairs of a Protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec...","Documentary, Crime, Music",Not Rated,71,2019-01-01,Stuart Sender,"Stephen Travers, Bertie Ahern, Alan Brecknell",United States,0,No Production Company Listed,1,0,1,1535,6.9
274,The Legend of Cocaine Island,A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.,Documentary,Mature Audiences,83,2018-01-01,Theo Love,"Bo Butterworth, Bri Bryant, Edward Craig",United States,0,No Production Company Listed,1,2,1,3490,6.3
275,Brené Brown: The Call to Courage,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,"Documentary, Drama",Not Rated,76,2019-01-01,Sandra Restrepo,Brené Brown,United States,0,No Production Company Listed,1,0,0,1771,7.7
276,Grass Is Greener,A look at America's complicated relationship with cannabis.,Documentary,Mature Audiences,97,2019-01-01,Fab 5 Freddy,"Harry J. Anslinger, Louis Armstrong, B-Real",United States,0,No Production Company Listed,1,0,0,1496,7.1
277,ReMastered: Devil at the Crossroads,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi.","Documentary, Biography",Not Rated,48,2019-01-01,Brian Oakes,"Terry Harmonica Bean, Rory Block, Yvonne Chireau",United States,0,No Production Company Listed,1,0,1,2990,7.0
278,Knock Down the House,A look at the people involved with various political campaigns during the 2018 U.S. congressional election.,Documentary,Parental Guidance,86,2019-01-01,Rachel Lears,"Alexandria Ocasio-Cortez, Cori Bush, Joe Crowley",United States,0,Jubilee Films,1,6,13,12896,7.4
279,All in My Family,"From documentarian Hao Wu comes a heartfelt portrait of how he created a thoroughly modern family in America, only to face the dilemma of introducing his same-sex partner and their children to his deeply traditional parents and re...","Documentary, Short, Family",Not Rated,39,2019-01-01,Hao Wu,No Cast Available,United States,0,No Production Company Listed,1,0,0,750,6.8
280,ReMastered: The Lion's Share,"South African journalist Rian Malan searches for the original writers of the legendary song ""The Lion Sleeps Tonight.""","Documentary, Music",Not Rated,84,2018-01-01,Sam Cullman,"Rian Malan, Solomon Linda, Delphi Linda",United States,0,No Production Company Listed,1,2,1,689,6.9
281,A Tale of Two Kitchens,"Two countries, two restaurants, one vision. A Tale of Two Kitchens explores the ways in which a restaurant can serve as a place of both dignity and community.","Documentary, Short",Not Rated,29,2019-01-01,Trisha Ziff,No Cast Available,United States,1,No Production Company Listed,1,0,0,319,6.3
282,After Maria,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.,"Documentary, Short",Not Rated,37,2019-01-01,Nadia Hallgren,Glenda Martes,United States,0,One Story Up Productions,0,0,2,423,4.9
283,The Black Godfather,"Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.","Documentary, Biography",Mature Audiences,118,2019-01-01,Reginald Hudlin,"Clarence Avant, Hank Aaron, Gwen Adolph",United States,0,Boardwalk Pictures Makemake,0,4,5,1486,7.5
284,Life Overtakes Me,"In the grip of trauma, hundreds of refugee children in Sweden withdraw from life's uncertainties into a coma-like illness called Resignation Syndrome.","Documentary, Short",Parental Guidance,39,2019-01-01,Kristine Samuelson,"Henry Ascher, Nadja Hatem, Mikael Billing",Sweden,1,No Production Company Listed,1,2,2,2084,6.5
285,The Edge of Democracy,Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.,"Documentary, History",Mature Audiences,121,2019-01-01,Petra Costa,"Dilma Rousseff, Luiz Inácio Lula da Silva, Marisa Letícia Lula da Silva",Brazil,0,Busca Vida Filmes,0,3,15,15518,7.3
286,Parchis: The Documentary,"A documentary about the rise and fall of the Spanish children's music group, Parchis.",Documentary,Not Rated,106,2019-01-01,Daniel Arasanz,"Eva Mariol, Imma Cabecerans, Joaquín Oristrell",Spain,0,No Production Company Listed,1,0,0,573,6.8
287,The Great Hack,The Cambridge Analytica scandal is examined through the roles of several affected persons.,"Documentary, Biography, History",Mature Audiences,113,2019-01-01,Karim Amer,"Brittany Kaiser, David Carroll, Paul-Olivier Dehaye",United States,0,The Othrs,0,1,4,24630,7.0
288,Enter the Anime,"It is a documentary aimed at newcomers to anime, and follows anime newbie, Alex Burunova, as she dives into the mysterious world of the genre. The documentary features some of the biggest anime stars like Kenji Kamiyama, Shinji Ar...",Documentary,Not Rated,58,2019-01-01,Alex Burunova,"Shinji Aramaki, Kôzô Morishita, Tania Nolan",United States,1,No Production Company Listed,1,0,0,1798,2.6
289,American Factory,"In post-industrial Ohio, a Chinese billionaire opens a factory in an abandoned General Motors plant, hiring two thousand Americans. Early days of hope and optimism give way to setbacks as high-tech China clashes with working-class...",Documentary,Mature Audiences,110,2019-01-01,Steven Bognar,"Junming 'Jimmy' Wang, Robert Allen, Sherrod Brown",United States,0,Higher Ground Productions,1,19,49,23223,7.4
290,Travis Scott: Look Mom I Can Fly,"'Travis Scott: Look Mom I Can Fly' traces the Houston rapper's rise to super-stardom, focusing on the months surrounding ASTROWORLD.","Documentary, Music",Mature Audiences,84,2019-01-01,White Trash Tyler,"Kylie Jenner, Travis Scott, Stormi Webster",United States,0,No Production Company Listed,1,0,0,5156,6.3
291,Evelyn,"Desmond's wife leaves him and their 3 kids after Christmas 1953. As he's unemployed in Dublin, the authorities place the kids in orphanages; when he finds a job, he tries to get his kids back.",Drama,Parental Guidance,96,2018-01-01,Bruce Beresford,"Pierce Brosnan, Julianna Margulies, Aidan Quinn",United States,1,Grain Media,1,4,7,6999,7.0
292,"Hello Privilege. It's Me, Chelsea",Chelsea Handler explores explores how white privilege impacts American culture and the ways it's benefited her life and career.,Documentary,Mature Audiences,64,2019-01-01,Alex Stapleton,"Chelsea Handler, Melina Abdullah, Jody David Armour",United States,0,Condé Nast Entertainment,0,0,0,2122,4.9
293,Los Tigres del Norte at Folsom Prison,The band Los Tigres del Norte visit both the male and female inmates of Folsom Prison. Inmates share their stories and how the music of Los Tigres del Norte speaks to them.,"Documentary, Music",Not Rated,64,2019-01-01,Tom Donahue,Los Tigres del Norte,United States,0,Creative Chaos Ventures,0,0,0,191,6.9
294,Birders,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful bird species.,"Documentary, Short",Not Rated,37,2019-01-01,Otilia Portillo Padua,"Esteban Berrones, Chris Birchfield, Mark Conway",United States,1,No Production Company Listed,1,0,0,335,6.4
295,Ghosts of Sugar Land,A group of suburban Muslims attempt to reconcile the disappearance of a close friend and must learn to live with the consequences of his actions.,"Documentary, Short",Mature Audiences,21,2019-01-01,Bassam Tariq,"Jennifer Julian, Kc Okoro",United States,0,Field of Vision,0,3,4,1527,5.5
296,Tell Me Who I Am,"After losing his memory in an accident, Alex Lewis trusts his twin brother, Marcus, to tell him about his past only to discover that he's hiding a dark secret about their childhood.","Documentary, Drama, Mystery",Mature Audiences,86,2019-01-01,Ed Perkins,"Andrew Caley, Alex Lewis, Marcus Lewis",United Kingdom,0,No Production Company Listed,1,0,4,15922,7.6
297,Dancing with the Birds,"From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate.",Documentary,Not Rated,51,2019-01-01,Huw Cordey,Stephen Fry,United States,0,Silverback Films,0,1,3,1893,8.3
298,It Takes a Lunatic,"The life and career of acting teacher and co-founder/director of the American Place Theater, Wynn Handman.","Documentary, Biography, Drama",Not Rated,120,2019-01-01,Billy Lyons ,"Alec Baldwin, André Bishop, Michael Douglas",United States,1,Exemplar Productions,0,0,0,193,6.6
299,A 3 Minute Hug,"How would you feel if you had no more than three minutes to hug your parents, nieces, and nephew of grandparents after more than a decade apart?","Documentary, Short",Not Rated,28,2019-01-01,Everardo González,No Cast Available,Mexico,1,No Ficción,0,0,1,263,6.5
300,Little Miss Sumo,A female sumo wrestler fights against tradition and stigma to win her place in the ring.,"Documentary, Short, Biography",Not Rated,19,2018-01-01,Matt Kay,Hiyori Kon,United Kingdom,0,Walks of Life Films,0,0,3,613,6.6
301,Fire in Paradise,"On 8th November, 2018, a fire broke out in California near the town of Paradise. Over the course of a few hours, the Camp Fire grew into the country's deadliest wildfire in over a century. Through first-hand footage of the disaste...","Documentary, Short",Mature Audiences,40,2019-01-01,Zackary Canepari,"Joy Beeson, Beth Bowersox, Abbie Davis",United States,0,No Production Company Listed,1,2,0,1181,7.4
302,"Bikram: Yogi, Guru, Predator",Tracing from his rise in the 1970s to his disgrace in accusations of rape and sexual harassment in more recent years.,"Documentary, Crime",Mature Audiences,86,2019-01-01,Eva Orner,"Larissa Anderson, Francesca Asumah, Sarah Baughn",United States,0,Pulse Films,0,0,1,8134,6.7
303,"Lorena, Light-Footed Woman","A young woman of the Tarahumara, well-known for their extraordinary long distance running abilities, wins ultramarathons seemingly out of nowhere despite running in sandals.","Documentary, Short, Sport",Not Rated,28,2019-01-01,Juan Carlos Rulfo,"Lorena Ramirez, Mario Ramírez, Santiago Ramírez",Mexico,0,No Ficción,0,1,0,900,7.0
304,After the Raid,"A large immigration raid in a small Tennessee town leaves emotional fallout as well as far-reaching questions about justice, faith and humanity.","Documentary, Short",Not Rated,24,2019-01-01,Rodrigo Reyes,No Cast Available,United States,1,No Ficción,0,0,0,138,4.6
305,El Pepe: A Supreme Life,"An examination of the life, times, and legacy of Uruguay's last president, José ""Pepe"" Mujica.","Documentary, Biography",Not Rated,74,2018-01-01,Emir Kusturica,Pepe Mujica,Argentina,1,Kramer & Sigman Films,1,1,0,2062,7.1
306,Kevin Hart's Guide to Black History,Kevin Hart highlights the fascinating contributions of black history's unsung heroes in this entertaining and educational comedy special.,Comedy,Parental Guidance,62,2019-01-01,Tom Stern,"Steve Agee, Derek Basco, Brad Berryhill",United States,0,No Production Company Listed,1,0,0,1440,5.6
307,Still Laugh-In: The Stars Celebrate,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater.","Comedy, Music",Mature Audiences,60,2019-01-01,N/A,"Lily Tomlin, Ruth Buzzi, Tiffany Haddish",United States,0,No Production Company Listed,1,0,0,651,5.2
308,The Unauthorized Bash Brothers Experience,The Lonely Island spoofs notorious baseball stars Jose Canseco and Mark McGwire in this visual rap album set in the Bash Brothers' 1980s heyday.,"Short, Comedy, Music",Mature Audiences,30,2019-01-01,Mike Diva Akiva Schaffer,"Andy Samberg, Akiva Schaffer, Jorma Taccone",United States,0,The Lonely Island Imposter Lord Danger,0,0,0,5518,6.9
309,Anima,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead scores and stars in a mind-bending visual piece. Best played loud.","Short, Music",Not Rated,15,2019-01-01,Paul Thomas Anderson,"Thom Yorke, Dajana Roncione, Frida Dam Seidel",United Kingdom,0,No Production Company Listed,1,0,1,12771,7.6
310,"Frankenstein's Monster's Monster, Frankenstein","David Harbour delves into the enigmatic history of his legendary acting family, as he examines his father's legacy and role in a made-for-TV play.",Comedy,Mature Audiences,32,2019-01-01,Daniel Gray Longino,"David Harbour, Kate Berlant, Alex Ozerov-Meyer",United States,0,Levenstein Harbour Longino,1,0,0,2359,5.8
311,Rocko's Modern Life: Static Cling,"After being in space for 20 years, Rocko and his friends attempt to adjust to an even more modern life in the 21st century. However, when he learns that his favorite 90s cartoon isn't on the air anymore, Rocko tries locating its c...","Animation, Action, Adventure",General Audiences,45,2019-01-01,Joe Murray Cosmo Segurson,"Carlos Alazraqui, Tom Kenny, Charlie Adler",United States,0,Nickelodeon,0,0,1,4087,6.9
312,The Irishman: In Conversation,"A roundtable discussion about The Irishman (2019) with Martin Scorsese, Robert De Niro, Al Pacino and Joe Pesci.","Documentary, Short",Mature Audiences,23,2019-01-01,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,0,Netflix,0,0,0,1916,7.4
313,John Mulaney & the Sack Lunch Bunch,"Armed with boyish charm and a sharp wit, the former SNL writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.",Comedy,Mature Audiences,70,2015-01-01,Rhys Thomas,"Petunia, John Mulaney, Amanda Walsh",United States,0,A24,0,0,1,9254,7.9
314,Ghost Stories,"After receiving a file with details of three unexplained cases of apparitions, skeptical professor Phillip Goodman embarks on a terrifying trip.","Drama, Horror",Not Rated,144,2018-01-01,Karan Johar,"Samuel Bottomley, Deborah Wastell, Amy Doyle",United Kingdom,0,RSVP Movies,0,1,7,36014,6.4
315,A Fall from Grace,"Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.",Thriller,Mature Audiences,120,2020-01-01,Tyler Perry,"Crystal Fox, Phylicia Rashad, Bresha Webb",United States,0,Tyler Perry Studios,0,2,0,16603,5.9
316,Airplane Mode,"En route to Australia, Logan is terrified; it's his first time flying. All of his worst nightmares come true when the ""influencers"" aboard refuse to switch their phones to airplane mode. The internet is about to crash.",Comedy,Mature Audiences,95,2019-01-01,César Rodrigues,"Logan Paul, Lauren Swickard, Juanpa Zurita",United States,0,A Fábrica,0,0,0,4692,1.9
317,Horse Girl,"Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.","Drama, Mystery, Thriller",Mature Audiences,103,2020-01-01,Jeff Baena,"Alison Brie, Molly Shannon, Goldenite",United States,0,Duplass Brothers Productions,0,1,1,19318,6.0
318,To All the Boys: P.S. I Still Love You,Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,"Comedy, Drama, Romance",Mature Audiences,102,2020-01-01,Michael Fimognari,"Lana Condor, Noah Centineo, Jordan Fisher",United States,0,Overbrook Entertainment,1,2,4,44043,6.0
319,The Last Thing He Wanted,A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake...,"Crime, Drama, Mystery",Mature Audiences,115,2020-01-01,Dee Rees,"Anne Hathaway, Ben Affleck, Rosie Perez",United States,0,Elevated Films,1,1,1,16357,4.3
320,Yeh Ballet,"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.","Drama, Musical",Not Rated,117,2020-01-01,Sooni Taraporevala,"Julian Sands, Jim Sarbh, Sarah Jane Dias",India,0,Roy Kapur Films,0,0,0,1462,7.5
321,All the Bright Places,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.","Drama, Romance",Mature Audiences,108,2020-01-01,Brett Haley,"Elle Fanning, Justice Smith, Alexandra Shipp",United States,0,Echo Lake Entertainment,1,1,0,36482,6.6
322,Guilty,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.","Drama, Thriller",Mature Audiences,119,2020-01-01,Ruchi Narain,"Kiara Advani, Taher Shabbir, Akansha Ranjan Kapoor",India,0,Dharmatic Entertainment,0,6,6,4695,5.4
323,Spenser Confidential,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate Hawk to take down criminals.","Action, Comedy, Crime",Mature Audiences,111,2020-01-01,Peter Berg,"Mark Wahlberg, Winston Duke, Alan Arkin",United States,0,Original Film,1,0,2,94552,6.2
324,Lost Girls,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.","Crime, Drama, Mystery",Mature Audiences,95,2020-01-01,Liz Garbus,"Amy Ryan, Thomasin McKenzie, Gabriel Byrne",United States,0,Archer Gray,1,1,0,23972,6.2
325,Ultras,"Naples. At almost fifty years old Sandro is the leader of the Apache, a group of ultras with whom he has spent his whole life at the stadium: a life of violence, clashes, passions, and unshakable values. Now that a hooligan preven...",Drama,Not Rated,108,2020-01-01,Francesco Lettieri,"Aniello Arena, Ciro Nacca, Antonia Truppo",Italy,0,Indigo Film,1,0,1,5272,6.2
326,The Occupant,"Javier Muñoz, once a successful executive, makes the fateful decision to leave his home, which he and his family can no longer afford.","Drama, Thriller",Mature Audiences,103,2020-01-01,David Pastor,"Javier Gutiérrez, Mario Casas, Bruna Cusí",Spain,0,"Nostromo 
Pictures",0,0,3,19136,6.4
327,Maska,"Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.","Comedy, Drama, Romance",Not Rated,112,2020-01-01,Neeraj Udhwani,"Prit Kamani, Manisha Koirala, Shirley Setia",India,0,Mutant Films,0,0,2,1548,5.9
