,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
43,First They Killed My Father,Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.,"Biography, Drama, History",Mature Audiences,136,2017-01-01,Angelina Jolie,"Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata",Cambodia,1,Jolie Pas,0,9,28,19798,7.2
44,Gerald's Game,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.","Drama, Horror, Thriller",Mature Audiences,103,2017-01-01,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Chiara Aurelia",United States,0,Intrepid Pictures,0,4,5,120201,6.5
45,Our Souls at Night,"Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neigh...","Drama, Romance",Mature Audiences,101,2017-01-01,Ritesh Batra,"Robert Redford, Jane Fonda, Matthias Schoenaerts",United States,0,Netflix,0,0,2,14486,6.9
46,Bomb Scared,"Four Basque ETA terrorists, living together with peculiar Spanish neighbors, are planning a terrorist attack in Spain, but await instructions from the head of the organization.",Comedy,Not Rated,89,2017-01-01,Borja Cobeaga,"Javier Cámara, Julián López, Miren Ibarguren",Spain,0,Deluxe Spain,1,0,3,2998,5.7
47,The Babysitter,"When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.","Comedy, Horror",Mature Audiences,85,2017-01-01,McG,"Judah Lewis, Samara Weaving, Robbie Amell",United States,0,Boies / Schiller Film Group Production,1,0,0,103603,6.3
48,1922,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.","Crime, Drama, Horror",Mature Audiences,101,2017-01-01,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid",United States,1,Campfire Productions,1,1,4,69132,6.2
49,Wheelman,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,"Action, Crime, Thriller",Mature Audiences,82,2017-01-01,Jeremy Rush,"Frank Grillo, Caitlin Carmichael, Garret Dillahunt",United States,0,The Solution Entertainment Group,1,0,0,21842,6.4
50,The Killer,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,"Action, Crime, Drama",Mature Audiences,111,1990-01-01,Marcelo Galvão,"Chow Yun-Fat, Danny Lee, Sally Yeh",Hong Kong,0,No Production Company Listed,1,2,6,50143,7.8
51,A Christmas Prince,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?","Comedy, Family, Romance",Parental Guidance,92,2017-01-01,Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige",United States,0,MPCA,0,0,0,20917,5.8
52,El Camino Christmas,"Eric comes to El Camino looking for his unknown dad. He's harassed, hit and jailed by a drunk local cop, who later shoots at a liquor mart with Eric +4 inside. The sheriff and deputy then shoot up the place, answering each other's...","Comedy, Crime, Western",Mature Audiences,89,2017-01-01,David E. Talbert,"Dax Shepard, Kurtwood Smith, Luke Grimes",United States,0,Goldenlight Films Brother,0,0,0,9969,5.7
53,Christmas Inheritance,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?","Comedy, Drama, Romance",Not Rated,104,2017-01-01,Ernie Barbarash,"Eliza Taylor, Jake Lacy, Andie MacDowell",United States,1,MPCA,0,0,0,12683,5.7
54,Bright,A detective must work with an Orc to find a powerful wand before evil creatures do.,"Action, Fantasy, Thriller",Mature Audiences,118,2017-01-01,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace",United States,0,Overbrook Entertainment,1,1,7,197992,6.3
55,My Own Man,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood.","Documentary, Comedy, Drama",Mature Audiences,82,2014-01-01,David Sampliner,No Cast Available,United States,0,Class 5 Films,1,0,0,457,6.4
56,"The Other One: The Long, Strange Trip of Bob Weir","A documentary that explores Bob Weirs life, through the Grateful Dead, Ratdog, and his childhood.","Documentary, Biography, Music",Not Rated,85,2015-01-01,Mike Fleiss,"John Perry Barlow, Chuck Berry, Neal Cassady",United States,0,Next Entertainment,0,1,0,1765,7.3
57,Hot Girls Wanted,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,Documentary,Mature Audiences,84,2015-01-01,Jill Bauer,"Tressa Silguero, Riley Reynolds, Rachel Bernard",United States,0,Two to Tangle Productions,0,0,2,18273,6.1
58,"What Happened, Miss Simone?","A documentary about the life and legend Nina Simone, an American singer, pianist, and civil rights activist labeled the ""High Priestess of Soul.""","Documentary, Biography, Music",Not Rated,101,2015-01-01,Liz Garbus,"Nina Simone, Lisa Simone Kelly, Roger Nupie",United States,0,No Production Company Listed,1,6,19,14545,7.6
59,Tig,"The personal Biography of Tig Notaro, a Stand-up comedian who was diagnosed with cancer.","Documentary, Biography",Mature Audiences,95,2015-01-01,Kristina Goolsby,"Stephanie Allynne, Zach Galifianakis, Sarah Silverman",United States,0,Netflix,0,0,3,2798,7.4
60,Keith Richards: Under the Influence,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.","Documentary, Music",Parental Guidance,81,2015-01-01,Morgan Neville,"Keith Richards, Anthony DeCurtis, Steve Jordan",United States,0,No Production Company Listed,1,0,3,3572,7.1
61,Winter on Fire: Ukraine's Fight for Freedom,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.","Documentary, History, War",Not Rated,102,2015-01-01,Evgeny Afineevsky,"His Beatitude Sviatoslav, Said Ismagilov, Bishop Agapit",United Kingdom,1,Netflix,0,2,5,20103,8.3
62,My Beautiful Broken Brain,"After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write.","Documentary, Biography",Mature Audiences,84,2016-01-01,Sophie Robinson,"David Lynch, Sophie Robinson, Hente Sodderland",United Kingdom,0,No Production Company Listed,1,2,6,2405,7.1
63,Team Foxcatcher,"Documentary filmmaker Jon Greenhalgh examines the life of Dave Schultz, a professional wrestler who was part of 'Team Foxcatcher', funded by multi-millionaire John du Pont.","Documentary, Biography, Crime",Mature Audiences,90,2016-01-01,Jon Greenhalgh,"John du Pont, Dave Schultz, Mike Gostigian",United States,0,No Production Company Listed,1,0,3,7032,7.2
64,Tony Robbins: I Am Not Your Guru,"TONY ROBBINS: I AM NOT YOUR GURU, a feature documentary film about internationally renowned life and business strategist Tony Robbins, is a revelatory cinéma vérité film that goes behind the scenes of his mammoth seminar ""Date Wit...",Documentary,Mature Audiences,115,2016-01-01,Joe Berlinger,"Sage Bonnie Humphrey, Steven Kronick, Anthony Robbins",United States,0,No Production Company Listed,1,3,1,4621,6.6
65,I'll Sleep When I'm Dead,A former gangster reenters the criminal underworld after his brother suspiciously commits suicide.,"Crime, Drama, Mystery",Mature Audiences,79,2004-01-01,Justin Krook,"Clive Owen, Malcolm McDowell, Jonathan Rhys Meyers",United Kingdom,1,City Room Creative,1,0,1,8870,5.8
66,Extremis,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.","Documentary, Short",Parental Guidance,24,2016-01-01,Dan Krauss,"Monica Bhargava, Jessica Zitter",United States,0,f/8 Filmworks,0,2,5,2586,7.3
67,The White Helmets,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.","Documentary, Short, War",Mature Audiences,40,2016-01-01,Orlando von Einsiedel,"Dana Abed, Tia Alkerdi, Khalid Farah",United Kingdom,0,Grain Media Violet Films,0,5,4,8056,7.5
68,Audrie & Daisy,A look at the effects that online bullying has on the lives of teenagers and their community.,"Documentary, Crime",Mature Audiences,95,2016-01-01,Bonni Cohen,"Robin Bourland, Daisy Coleman, Charles Coleman",United States,0,Actual Films,0,2,8,6935,7.2
