,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot
293,Ghosts of Sugar Land,A group of suburban Muslims attempt to reconcile the disappearance of a close friend and must learn to live with the consequences of his actions.,"Documentary, Short",Mature Audiences,21,2019-01-26,Bassam Tariq,"Jennifer Julian, Kc Okoro",United States,0,Field of Vision,0,3,4,1504.0,5.5,A group of suburban Muslims attempt to reconcile the disappearance of a close friend and must learn to live with the consequences of his actions.
294,Tell Me Who I Am,"After losing his memory in an accident, Alex Lewis trusts his twin brother, Marcus, to tell him about his past only to discover that he's hiding a dark secret about their childhood.","Documentary, Drama, Mystery",Mature Audiences,86,2019-10-18,Ed Perkins,"Andrew Caley, Alex Lewis, Marcus Lewis",United Kingdom,0,No Production Company Listed,1,0,4,15780.0,7.6,"What if every memory that haunts you could be erased? What if something truly horrific had happened to you and the person who loves you most could wipe that from your mind? Would you want them to? This is the ethical dilemma that 18-year-old Marcus Lewis faced when his identical twin Alex awakened after a motorcycle accident and Marcus was the only person Alex recognized. With no memories at all, Alex relied entirely on his brother as he tried to understand who he was. Working from an autobiography by the twins, Perkins and the Lewis brothers craft a powerfully cinematic adaptation that helps the audience explore their incredible story and remarkable 35-year post-accident journey. It's a profoundly moving examination of memory and trauma, personal responsibility and, ultimately, love."
295,Dancing with the Birds,"From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate.",Documentary,Not Rated,51,2019-10-23,Huw Cordey,Stephen Fry,United States,0,Silverback Films,0,1,3,1893.0,8.3,"From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate."
296,It Takes a Lunatic,"The life and career of acting teacher and co-founder/director of the American Place Theater, Wynn Handman.","Documentary, Biography, Drama",Not Rated,120,2019-05-03,Billy Lyons ,"Alec Baldwin, André Bishop, Michael Douglas",United States,1,Exemplar Productions,0,0,0,193.0,6.6,"In Billy Lyons's heartfelt and inspiring profile, Wynn Handman delves into his personal life story, while comments from former students such as Richard Gere, James Caan, Joel Grey, Michael Douglas, Frank Langella, and Chris Cooper show just how deep-seated an impact his work has had on American theater. Today, at the age of 96 Wynn Handman still teaches as many classes as he did in the beginning, as genuine, outspoken, and intolerant of BS ever, as he continues to push his students to find their truth and their voice-both onstage and off."
297,A 3 Minute Hug,"How would you feel if you had no more than three minutes to hug your parents, nieces, and nephew of grandparents after more than a decade apart?","Documentary, Short",Not Rated,28,2019-10-28,Everardo González,No Cast Available,Mexico,1,No Ficción,0,0,1,262.0,6.5,"How would you feel if you had no more than three minutes to hug your parents, nieces, and nephew of grandparents after more than a decade apart?"
298,Little Miss Sumo,A female sumo wrestler fights against tradition and stigma to win her place in the ring.,"Documentary, Short, Biography",Not Rated,19,2018-10-18,Matt Kay,Hiyori Kon,United Kingdom,0,Walks of Life Films,0,0,3,598.0,6.5,"Banned from competing professionally, female sumo wrestling champion Hiyori will have to retire at the age of 21. Fighting tradition, Hiyori embarks on a remarkable journey, confronting obstacles both inside and outside the ring in an attempt to help change Japan's national sport."
299,Fire in Paradise,"On 8th November, 2018, a fire broke out in California near the town of Paradise. Over the course of a few hours, the Camp Fire grew into the country's deadliest wildfire in over a century. Through first-hand footage of the disaste...","Documentary, Short",Mature Audiences,40,2019-09-01,Zackary Canepari,"Joy Beeson, Beth Bowersox, Abbie Davis",United States,0,No Production Company Listed,1,2,0,1164.0,7.4,"On 8th November, 2018, a fire broke out in California near the town of Paradise. Over the course of a few hours, the Camp Fire grew into the country's deadliest wildfire in over a century. Through first-hand footage of the disaster and interviews with survivors and responders, FIRE IN PARADISE retells the survival stories from that day."
300,"Bikram: Yogi, Guru, Predator",Tracing from his rise in the 1970s to his disgrace in accusations of rape and sexual harassment in more recent years.,"Documentary, Crime",Mature Audiences,86,2019-09-10,Eva Orner,"Larissa Anderson, Francesca Asumah, Sarah Baughn",United States,0,Pulse Films,0,0,1,8028.0,6.7,"Bikram Choudhury was at the forefront of popularizing yoga in North America and around the world. An Indian immigrant with a Beverly Hills base, Choudhury was a born entertainer, known for dressing in nothing more than a black speedo and a Rolex. His teaching style was tough love sprinkled with salty language and punctuated by spontaneous bursts of singing. His followers hailed him for helping them to gain confidence, lose weight, and overcome physical ailments through his specialty of hot yoga. He built a franchise empire with hundreds of Bikram studios around the world. Filmmaker Eva Orner traces Choudhury from his rise in the 1970s to his disgrace in accusations of rape and sexual harassment in more recent years. She taps a vast trove of archival footage that demonstrates Choudhury's charm and offers clues to his dark side. She conducts extensive interviews with his one-time acolytes who now feel betrayed, including yoga devotee Sarah Baughn who brought serious charges against him years before the reckoning of the #MeToo movement, and Choudhury's long-time lawyer Micki Jafa-Bodden. Over the years, Choudhury's story has received steady press coverage, but there is a fresh power in this telling, with key figures going on camera to describe their complicated journey. The film raises larger questions about the nature of leaders and followers and the corruption of messianic figures. To this day, Choudhury has evaded prosecution and continues to attract yoga students from all over the world, bringing added tension to this rigorous investigation."
301,"Lorena, Light-Footed Woman","A young woman of the Tarahumara, well-known for their extraordinary long distance running abilities, wins ultramarathons seemingly out of nowhere despite running in sandals.","Documentary, Short, Sport",Not Rated,28,2019-11-20,Juan Carlos Rulfo,"Lorena Ramirez, Mario Ramírez, Santiago Ramírez",Mexico,0,No Ficción,0,1,0,888.0,7.0,"A young woman of the Tarahumara, well-known for their extraordinary long distance running abilities, wins ultramarathons seemingly out of nowhere despite running in sandals."
302,After the Raid,"A large immigration raid in a small Tennessee town leaves emotional fallout as well as far-reaching questions about justice, faith and humanity.","Documentary, Short",Not Rated,24,2019-12-19,Rodrigo Reyes,No Cast Available,United States,1,No Ficción,0,0,0,137.0,4.6,"A large immigration raid in a small Tennessee town leaves emotional fallout as well as far-reaching questions about justice, faith and humanity."
303,El Pepe: A Supreme Life,"An examination of the life, times, and legacy of Uruguay's last president, José ""Pepe"" Mujica.","Documentary, Biography",Not Rated,74,2018-09-02,Emir Kusturica,Pepe Mujica,Argentina,1,Kramer & Sigman Films,1,1,0,2046.0,7.1,"An examination of the life, times, and legacy of Uruguay's last president, José ""Pepe"" Mujica."
304,Kevin Hart's Guide to Black History,Kevin Hart highlights the fascinating contributions of black history's unsung heroes in this entertaining and educational comedy special.,Comedy,Parental Guidance,62,2019-02-08,Tom Stern,"Steve Agee, Derek Basco, Brad Berryhill",United States,0,No Production Company Listed,1,0,0,1427.0,5.6,Kevin Hart highlights the fascinating contributions of black history's unsung heroes in this entertaining and educational comedy special.
305,Still Laugh-In: The Stars Celebrate,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater.","Comedy, Music",Mature Audiences,60,2019-05-14,,"Lily Tomlin, Ruth Buzzi, Tiffany Haddish",United States,0,No Production Company Listed,1,0,0,649.0,5.2,"Hollywood's finest pay tribute to ""Rowan and Martin's Laugh-In"" for an uncensored and unforgettable celebration at The Dolby Theater."
