,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot
0,Beasts of No Nation,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.","Drama, War",Mature Audiences,138,2015-09-03,Cary Joji Fukunaga,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor",United States,0,Participant Media,1,31,59,84555.0,7.7,"Follows the journey of a young boy, Agu, who is forced to join a group of soldiers in a fictional West African country. While Agu fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination Depicts the mechanics of war and does not shy away from explicit, visceral detail, and paints a complex, difficult picture of Agu as a child soldier."
1,The Ridiculous 6,"An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad.","Action, Adventure, Comedy",Mature Audiences,120,2015-12-11,Frank Coraci,"Adam Sandler, Terry Crews, Jorge Garcia",United States,0,Happy Madison Productions,0,0,0,51701.0,4.8,"A white man, Tommy, raised by Indians is approached by his long lost father who tells him he needs $50,000 or he'll die at the hands of his former gang. Tommy goes on an incredible and ridiculous journey picking up his other 5 new brothers on the way in a race to save their dad."
2,Pee-wee's Big Holiday,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.,"Comedy, Family",Parental Guidance,89,2016-03-17,John Lee,"Paul Reubens, Jordan Black, Doug Cox",United States,0,Pee-wee Pictures,1,0,0,8470.0,6.1,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.
3,Special Correspondents,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,Comedy,Mature Audiences,100,2016-04-22,Ricky Gervais,"Ricky Gervais, Eric Bana, Vera Farmiga",Canada,1,Bron Studios,1,0,0,25488.0,5.9,"A New York radio reporter and his sound engineer are sent to Ecuador to cover a developing civil war. However, they lose their passports before leaving so come up with a Plan B: cover it from New York while pretending to be on the ground in Ecuador."
4,The Do-Over,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.","Action, Adventure, Comedy",Mature Audiences,108,2016-05-16,Steve Brill,"Adam Sandler, David Spade, Paula Patton",United States,0,Happy Madison Productions,0,0,0,49243.0,5.7,"Max (Adam Sandler) and Charlie (David Spade) old school friends who reunite at their 25th high school reunion are tired of their mundane lives: they decide to wipe the slate clean for a do-over. After faking their deaths and assuming new identities, could their lives be better the second time around?"
5,The Fundamentals of Caring,A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,"Comedy, Drama",Mature Audiences,93,2016-01-29,Rob Burnett,"Craig Roberts, Paul Rudd, Selena Gomez",United States,0,Worldwide Pants,1,0,4,76551.0,7.3,"A writer (Paul Rudd) retires after a personal tragedy and becomes a disabled teen's caregiver. When the two embark on an impromptu road trip, their ability to cope is tested as they start to understand the importance of hope and friendship."
6,Brahman Naman,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women.",Comedy,Not Rated,95,2016-07-07,Qaushiq Mukherjee,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad",India,1,No Production Company Listed,1,0,2,1974.0,5.5,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women."
7,Rebirth,He's a family man headed for a weekend of self-discovery. But it's about to turn into a nightmare with no escape.,Thriller,Mature Audiences,101,2016-04-17,Karl Mueller,"Fran Kranz, Adam Goldberg, Nicky Whelan",United States,0,Campfire,0,0,0,5709.0,5.0,"A white-collar suburban father Kyle (Fran Kranz) who is surprised at his office by long-lost college buddy Zack (Adam Goldberg). Zack is as wild and crazy as ever, brimming with excitement about the self-actualization program he's just finished called Rebirth. He talks Kyle into going on a weekend-long Rebirth retreat,handing over his keys, wallet, and phone. Thus begins his journey down a bizarre rabbit hole of psychodrama, seduction, and violence."
8,Tallulah,"Desperate to be rid of her toddler, a dissatisfied Manhattan housewife hires a stranger to babysit and ends up getting much more than she bargained for.","Comedy, Drama, Romance",Not Rated,111,2016-01-23,Sian Heder,"Elliot Page, Allison Janney, Tammy Blanchard",United States,0,Route One Entertainment,1,0,2,21071.0,6.7,"An intelligent but feral girl's boyfriend leaves unexpectedly causing her to search for him at his estranged mother's home. The two women begin to bond, finding supportive friendship in each other's troubled lives, changing their outlook forever."
9,XOXO,"Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night.","Drama, Music",Mature Audiences,92,2016-08-26,Christopher Louie,"Sarah Hyland, Graham Phillips, Brett DelBuono",United States,0,Netflix,1,0,0,7187.0,5.3,"Six strangers' lives collide in one frenetic, dream-chasing, hopelessly romantic night."
10,ARQ,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.","Action, Sci-Fi, Thriller",Mature Audiences,88,2016-09-09,Tony Elliott,"Robbie Amell, Rachael Taylor, Shaun Benson",Canada,1,Lost City,1,1,3,40738.0,6.3,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity."
11,The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,"Action, Drama, History",Mature Audiences,108,2016-07-10,Richie Smyth,"Richard Lukunku, Danny Sapani, Andrew Stock",Ireland,1,No Production Company Listed,1,3,4,42382.0,7.2,"In 1961, the UN sends an Irish peacekeeper troop commanded by Commandant Pat Quinlan to Katanga, in Congo, to protect the inhabitants of the mining town of Jadotville in the beginning of a civil war. Meanwhile the UN advisor Dr. Conor Cruise O'Brien launches a military attack named Operation Morthor against the French and Belgian mercenaries. Soon there is a reprisal from the mercenaries and Quinlan and his men are left under siege by a huge number of Katangese and mercenary troops. Will the Irish soldiers resist the attack?"
12,Mascots,A look into the world of competitive mascots.,Comedy,Mature Audiences,89,2016-09-10,Christopher Guest,"Zach Woods, Wayne Wilderson, Sarah Baker",United States,0,No Production Company Listed,1,1,1,7878.0,5.8,A look into the world of competitive mascots.
13,I Am the Pretty Thing That Lives in the House,A young nurse takes care of an elderly author who lives in a haunted house.,"Drama, Horror, Mystery",Not Rated,87,2016-09-10,Osgood Perkins,"Ruth Wilson, Paula Prentiss, Bob Balaban",Canada,0,Netflix,1,0,2,15337.0,4.6,"Stained by the brutal death of a young woman, the tranquil and vacant New England mansion of the prolific horror authoress, Iris Blum, has become her silent prison. To take care of the ageing writer who suffers from chronic dementia, the property's manager hires the gentle and soft-spoken live-in hospice nurse, Lily Saylor; however, this is far from an ordinary job. Little by little, Lily's imagination will run wild, as shadowy sightings of eerie female spectres blur the frail boundaries between reality and fantasy, fable and truth. Iris has talked about man's coexistence with the spectral realm in her novels that chill the bone to the marrow. Could her secluded white house at the end of the road be an aerial limbo caught in the middle of life and death?"
14,7 años,"Conocer la pareja de tu vida es sólo obra del destino! Pero una cosa es casarse y otra, controlarse. Así que para sobrevivir la crisis del matrimonio, te diremos cómo lograrlo. Esta divertida comedia te enseñará que en el amor; TO...","Comedy, Romance",Not Rated,77,2013-01-25,Roger Gual,"Ximena Herrera, Víctor González, Roberto Palazuelos",Mexico,0,No Production Company Listed,1,1,0,247.0,5.0,
15,True Memoirs of an International Assassin,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur...","Action, Comedy, Crime",Mature Audiences,98,2016-11-11,Jeff Wadlow,"Kevin James, Kim Coates, Maurice Compte",United States,0,PalmStar Media,0,0,0,23811.0,5.9,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival."
16,Mercy,A single mom and her two boys help take care of their grandmother with mystical powers.,"Horror, Thriller",Mature Audiences,90,2014-10-07,Chris Sparling,"Frances O'Connor, Shirley Knight, Chandler Riggs",United States,0,XYZ Films,0,0,0,5659.0,4.9,A single mom and her two boys help take care of their grandmother with mystical powers.
17,Spectral,A sci-fi/thriller story centered on a special-ops team that is dispatched to fight supernatural beings.,"Action, Adventure, Sci-Fi",Parental Guidance,107,2016-12-09,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood",United States,1,Netflix,0,0,0,62280.0,6.3,Civil Unrest in the European country of Moldova has US forces engaging the insurgents however there is a new threat who has decided both are their enemy. This new threat resides in an alternative spectrum that makes them invisible to the naked eye and instant death to anyone confronting them. Locals believe they are Spirits of War but others believe they are superior arms technology fabricated by the Moldova government..
18,Coin Heist,"United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint.","Crime, Drama, Romance",Mature Audiences,97,2017-01-06,Emily Hagins,"Alex Saxon, Alexis G. Zall, Sasha Pieterse",United States,0,Adaptive Studios,0,0,0,2910.0,4.8,"United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint."
19,Clinical,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.","Horror, Thriller",Not Rated,104,2017-01-13,Alistair Legrand,"Vinessa Shaw, Kevin Rahm, India Eisley",United States,0,Campfire,0,0,0,8763.0,5.1,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history."
20,Take the 10,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire.",Comedy,Not Rated,80,2017-01-20,Chester Tam,"Josh Peck, Tony Revolori, Kevin Corrigan",United States,0,Blue Creek Pictures,0,0,0,3325.0,4.8,"A day in the life of two best friends, a drug dealer, and a store manager collide at a hip-hop concert in the Inland Empire."
21,iBoy,"After being shot, Tom awakens from a coma to discover that fragments of his smartphone have been embedded in his head--and worse, that returning to normal teenage life is impossible because he has developed a strange set of superp...","Action, Crime, Sci-Fi",Mature Audiences,90,2017-01-27,Adam Randall,"Bill Milner, Maisie Williams, Miranda Richardson",United Kingdom,0,Netflix,1,0,0,23806.0,5.9,"After being shot while calling for help trying to stop a violent attack on his high school girl, a 16 year old boy awakens from a coma to discover that fragments of his smart phone have embedded in his brain, giving him superhero powers. He uses this knowledge and technology to exact revenge on the gang responsible for the attack."
22,Imperial Dreams,"A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles.",Drama,Mature Audiences,90,2014-01-20,Malik Vitthal,"John Boyega, Rotimi, Glenn Plummer",United States,0,Super Crispy Entertainment,0,10,6,4719.0,6.7,"A 21-year-old reformed gangster's devotion to his family and his future is put to the test when he is released from prison and returns to his old stomping grounds in Watts, Los Angeles."
23,Girlfriend's Day,"A now down-on-his-luck romance card writer, Ray Wentworth, decides to recapture the feelings that once made him the greatest with the creation of a new holiday: Girlfriend's Day.","Comedy, Drama",Mature Audiences,70,2017-02-14,Michael Stephenson,"Bob Odenkirk, Amber Tamblyn, Stacy Keach",United States,0,Magic Stone Productions,1,0,0,5034.0,5.2,"In a city where greeting card writers are celebrated like movie stars, Romance writer Ray used to be the king. In trying to recapture the feelings that once made him the greatest, he gets entangled in a web of murder and deceit as writers vie to create the perfect card for a new holiday: Girlfriend's Day."
24,I Don't Feel at Home in This World Anymore,"When a depressed woman is burgled, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.","Comedy, Crime, Drama",Mature Audiences,96,2017-01-19,Macon Blair,"Melanie Lynskey, Chris Doubek, Marilyn Faith Hickey",United States,0,Film Science,1,3,3,61634.0,6.9,"When a depressed woman is burgled, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbour. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals."
25,Burning Sands,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",Drama,Mature Audiences,102,2017-01-24,Gerard McMurray,"Trevor Jackson, Tosin Cole, DeRon Horton",United States,0,Mandalay Pictures,1,0,4,2979.0,6.0,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing."
26,Deidra & Laney Rob a Train,"After their mother ends up in jail, two sisters turn to train robbery in order to support their family.","Comedy, Crime, Drama",Mature Audiences,92,2017-01-23,Sydney Freeland,"Ashleigh Murray, Rachel Crow, Lance Gray",United States,0,Netflix,0,0,1,2007.0,6.0,"DEIDRA &amp; LANEY ROB A TRAIN is the story of two teenage girls who start robbing trains to make ends meet after their mom goes to jail. Set in present day, with shades of RAISING ARIZONA and LITTLE MISS SUNSHINE. Written by Shelby Farrell, with Sundance Film Fest alum Sydney Freeland (DRUNKTOWN'S FINEST) directing, and Susan Cartsonis (THE DUFF, WHAT WOMEN WANT) and Nick Moceri (A GIRL WALKS HOME ALONE AT NIGHT) producing."
27,The Most Hated Woman in America,"The life of Madelyn Murray O'Hair, the outspoken activist and founder of American Atheists.","Biography, Drama, History",Mature Audiences,91,2017-03-14,Tommy O'Haver,"Melissa Leo, Brandon Mychal Smith, Juno Temple",United States,0,Brownstone Productions,1,0,0,7095.0,6.1,"A true story of the much debated rise and demise of a woman, named Madalyn Murray O'Hair, who was known as the head atheist activist of America. She founded the organization, American Atheist, and held the position of president within the organization for 23 years. Quickly this woman became the most loathed person in the country."
28,The Discovery,"Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.","Drama, Romance, Sci-Fi",Mature Audiences,102,2017-01-20,Charlie McDowell,"Robert Redford, Mary Steenburgen, Brian McCarthy",United States,0,Endgame Entertainment,1,0,0,36247.0,6.2,"Writer-director Charlie McDowell returns to Sundance this year with a thriller about a scientist (played by Robert Redford) who uncovers scientific proof that there is indeed an afterlife. His son is portrayed by Jason Segel, who's not too sure about his father's ""discovery"", and Rooney Mara plays a mystery woman who has her own reasons for wanting to find out more about the afterlife."
29,Win It All,"A small-time gambler agrees to stash a bag for an acquaintance who is heading to prison. When he discovers cash in the bag, he can't resist the urge to dip into the funds.",Comedy,Mature Audiences,90,2017-03-11,Joe Swanberg,"Jake Johnson, Rony Shemon, Morgan Ng",United States,0,Forager Films,1,0,0,9924.0,6.2,"Eddie Garrett agrees to watch a duffel bag for an acquaintance who is heading to prison. When he discovers cash in the bag, he's unable to resist the temptation and winds up deeply in debt. When the prison release is shortened, Eddie suddenly has a small window of time to win all the money back."
30,Sandy Wexler,"Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.",Comedy,Mature Audiences,131,2017-04-07,Steve Brill,"Adam Sandler, Jennifer Hudson, Kevin James",United States,0,Happy Madison Productions,0,1,2,18127.0,5.2,"Sandy Wexler (Adam Sandler) is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business. His single-minded devotion is put to the test when he falls in love with his newest client, Courtney Clarke, a tremendously talented singer whom he discovers at an amusement park. Over the course of a decade, the two of them play out a star-crossed love story."
31,Sand Castle,"The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction and horrors of war.","Action, Drama, War",Mature Audiences,113,2017-04-21,Fernando Coimbra,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill",United States,0,42,1,0,0,25568.0,6.3,"A soldier enlists just before the 9/11. He is not a brave man--simply volunteering to defend freedom. Arriving in Iraq in 2003, just after the occupation of Bagdad, with a few soldiers of his infantry platoon, he is sent to provide water to a village whose infrastructure was destroyed. Simple things however, such as water transportation, water distribution and the reconstruction of the plumbing became a challenge in war environment."
32,Tramps,A young man and woman find love in an unlikely place while carrying out a shady deal.,"Adventure, Romance",Not Rated,83,2016-09-10,Adam Leon,"Callum Turner, Grace Van Patten, Michal Vondel",United States,0,Animal Kingdom,1,0,0,5990.0,6.5,A young man and woman find love in an unlikely place while carrying out a shady deal.
33,Small Crimes,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.","Crime, Drama, Thriller",Mature Audiences,95,2017-03-11,Evan Katz,"Nikolaj Coster-Waldau, Robert Forster, Jacki Weaver",United States,1,Rooks Nest Entertainment,1,0,0,8616.0,5.8,"SMALL CRIMES is a delightfully suspenseful, blackly comic tale that follows a disgraced former cop, fresh off a six-year prison sentence for attempted murder, who returns home looking for redemption, but winds up trapped in the mess he left behind."
34,Handsome,Two brothers embark on a worldwide journey to discover what it's like for other siblings living with Down's syndrome.,Documentary,Not Rated,81,2021-02-28,Jeff Garlin,"Alexander Bourne, Nicholas Bourne, Amber Maillard",United Kingdom,0,JZM Films,0,0,0,14.0,,Two brothers embark on a worldwide journey to discover what it's like for other siblings living with Down's syndrome.
35,Blame!,"In the distant future, humans are declared ""illegal residents"" and hunted to near extinction by murderous robots. One day, a group of human scavengers come across a strange man named Killy, who may be the key to humanity's survival.","Animation, Action, Drama",Mature Audiences,106,2017-05-20,Hiroyuki Seshita,"Takahiro Sakurai, Kana Hanazawa, Sora Amamiya",Japan,0,Polygon Pictures,0,0,0,8653.0,6.6,"In the distant technological future, civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order, resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls, and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city, a little enclave known as the Electro-Fishers is facing eventual extinction, trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village, only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked, the only thing that can save her now is the sudden arrival of Kiri the Wanderer, on his quest for the Net Terminal Genes, the key to restoring order to the world."
36,War Machine,"An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan.","Comedy, Drama, War",Mature Audiences,122,2017-05-24,David Michôd,"Brad Pitt, Daniel Betts, John Magaro",United States,0,Plan B Entertainment,1,0,3,48774.0,6.0,"A general from the U.S. is sent to Afghanistan to ""clean"" the situation up after eight years of war in the country. He finds himself among tired soldiers and disillusioned politicians eager to leave. In this situation, he feels his mission is to ""win"" the war, something deemed impossible by everyone around him."
37,Shimmer Lake,An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.,"Action, Comedy, Crime",Not Rated,83,2017-06-09,Oren Uziel,"Benjamin Walker, Rainn Wilson, Stephanie Sigman",Canada,1,Footprint Features,1,0,0,15970.0,6.3,An inventive crime thriller told backwards reversing day by day through a week following a local sheriff's quest to unlock the mystery of three small-town criminals and a bank heist gone wrong.
38,Okja,"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.","Action, Adventure, Drama",Mature Audiences,120,2017-05-19,Bong Joon-ho,"Tilda Swinton, Paul Dano, Seo-hyun Ahn",South Korea,1,Plan B Entertainment,1,7,14,127670.0,7.3,"For 10 idyllic years, young Mija (An Seo Hyun) has been caretaker and constant companion to Okja-a massive animal and an even bigger friend-at her home in the mountains of South Korea. But that changes when a family-owned multinational conglomerate Mirando Corporation takes Okja for themselves and transports her to New York, where image obsessed and self-promoting CEO Lucy Mirando (Tilda Swinton) has big plans for Mija's dearest friend. With no particular plan but single-minded in intent, Mija sets out on a rescue mission, but her already daunting journey quickly becomes more complicated when she crosses paths with disparate groups of capitalists, demonstrators and consumers, each battling to control the fate of Okja...while all Mija wants to do is bring her friend home. Deftly blending genres, humor, poignancy and drama, Bong Joon Ho (Snowpiercer, The Host) begins with the gentlest of premises-the bond between man and animal-and ultimately creates a distinct and layered vision of the world that addresses the animal inside us all. Okja is a Plan B Entertainment, Lewis Pictures and Kate Street Picture Company production in association with Netflix."
39,To the Bone,"A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life.",Drama,Mature Audiences,108,2017-01-22,Marti Noxon,"Rebekah Kennedy, Lily Collins, Dana L. Wilson",United States,0,AMBI Group,1,0,2,52748.0,6.8,"Ellen is a 20 year old woman struggling with anorexia nervosa. In the midst of family problems and her own fears, she is accepted into a group home run by an unusual doctor. Through the people she meets and the journey she takes, Ellen follows a path of self discovery and acceptance that will lead her to a surprising place she never would have thought possible"
40,The Incredible Jessica James,An aspiring playwright in New York strikes up a friendship with a guy while on the rebound from a break-up.,Comedy,Mature Audiences,83,2017-01-27,James C. Strouse,"Jessica Williams, Chris O'Dowd, LaKeith Stanfield",United States,0,Beachside Films,0,0,3,8444.0,6.5,An aspiring playwright in New York strikes up a friendship with a guy while on the rebound from a break-up.
41,Naked,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,"Comedy, Drama",Not Rated,96,1994-02-04,Michael Tiddes,"David Thewlis, Lesley Sharp, Katrin Cartlidge",United Kingdom,0,Broken Road Productions,0,8,7,42099.0,7.7,"Johnny flees Manchester for London, to avoid a beating from the family of a girl he has raped. There he finds an old girlfriend, and spends some time homeless, spending much of his time ranting at strangers, and meeting characters in plights very much like his own."
42,Little Evil,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.","Comedy, Fantasy, Horror",Mature Audiences,95,2017-09-01,Eli Craig,"Evangeline Lilly, Owen Atlas, Adam Scott",United States,0,Bluegrass Films,1,0,1,22535.0,5.7,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist."
43,First They Killed My Father,Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.,"Biography, Drama, History",Mature Audiences,136,2017-02-18,Angelina Jolie,"Sareum Srey Moch, Phoeung Kompheak, Sveng Socheata",Cambodia,1,Jolie Pas,0,9,28,19589.0,7.2,"In the 70's, a Cambodian middle-class girl sees the lives of her family and her turning upside-down when the Khmer Rouge invades the Cambodia. They leave their comfortable apartment and lifestyle to live in a primitive working camp. Her father, a former officer, is killed and the family splits to survive."
44,Gerald's Game,"A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.","Drama, Horror, Thriller",Mature Audiences,103,2017-09-19,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Chiara Aurelia",United States,0,Intrepid Pictures,0,4,5,118260.0,6.5,"When a harmless game between a married couple in a remote retreat suddenly becomes a harrowing fight for survival, wife Jessie must confront long-buried demons within her own mind - and possibly lurking in the shadows of her seemingly empty house."
45,Our Souls at Night,"Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neigh...","Drama, Romance",Mature Audiences,101,2017-09-01,Ritesh Batra,"Robert Redford, Jane Fonda, Matthias Schoenaerts",United States,0,Netflix,0,0,2,14426.0,6.9,"In Holt, a small Colorado town, Addie Moore (Jane Fonda) pays an unexpected visit to a neighbor, Louis Waters (Robert Redford). Her husband died years ago, as did his wife, and in such a small town they'd been neighbors for decades, but had little contact. Their children (Matthias Schoenaerts and Judy Greer) live far away and they are all alone in their big houses. Addie seeks to establish a connection, and make the most of the rest of the time they have."
46,Bomb Scared,"Four Basque ETA terrorists, living together with peculiar Spanish neighbors, are planning a terrorist attack in Spain, but await instructions from the head of the organization.",Comedy,Not Rated,89,2017-10-12,Borja Cobeaga,"Javier Cámara, Julián López, Miren Ibarguren",Spain,0,Deluxe Spain,1,0,3,2980.0,5.7,"Four Basque ETA terrorists, living together with peculiar Spanish neighbors, are planning a terrorist attack in Spain, but await instructions from the head of the organization."
47,The Babysitter,"When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.","Comedy, Horror",Mature Audiences,85,2017-10-13,McG,"Judah Lewis, Samara Weaving, Robbie Amell",United States,0,Boies / Schiller Film Group Production,1,0,0,101907.0,6.3,"Cole (Judah Lewis) loves his babysitter (Samara Weaving) Bee. She's hot, funny, and popular. One night, in a moment of defiance, Cole secretly stays up past his bedtime to discover she's actually a cold-blooded killer who's in league with the Devil. He now must spend his night evading Bee's band of killers who will stop at nothing to prevent Cole from spilling their dark secret. It's up to Cole to survive the night (and blow up a few people along the way)."
48,1922,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.","Crime, Drama, Horror",Mature Audiences,101,2017-09-23,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid",United States,1,Campfire Productions,1,1,4,68054.0,6.2,"Featuring shades of Edgar Allen Poe's [""A Tell-tale Heart"" and] ""The Black Cat"", 1922, with a Bonny and Clyde sub-plot, based on the Stephen King novella of the same name, centers on simple but proud farmer, Wilfred James, who, with the reluctant help of his teenage son, murders his wife to gain ownership of her inherited land. Shortly after, however, strange and supernatural occurrences begin to plague both James and his farm. Is it just simple bad luck, or is it the work of something much more sinister?"
49,Wheelman,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,"Action, Crime, Thriller",Mature Audiences,82,2017-10-20,Jeremy Rush,"Frank Grillo, Caitlin Carmichael, Garret Dillahunt",United States,0,The Solution Entertainment Group,1,0,0,21660.0,6.4,"After three years in prison, the driver known as Wheelman has to work for mobsters to pay for a debt. When he is assigned to drive a getaway car for a bank heist, he is not able to contact his liaison and a stranger call him giving orders to deliver the stolen money to him. Soon he learns that he has been betrayed by his contact and spends the night trying to save his thirteen year-old Katie and his ex-wife Jessica from a gang that wants the money robbed from the bank. But who can be trusted?"
50,The Killer,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,"Action, Crime, Drama",Mature Audiences,111,1990-09-01,Marcelo Galvão,"Chow Yun-Fat, Danny Lee, Sally Yeh",Hong Kong,0,No Production Company Listed,1,2,6,49843.0,7.8,"A Hong Kong hitman accidentally blinds an innocent woman during a hit. He is determined to get her surgery to help her regain her sight but he needs to complete one more hit first. He completes the job but then is ambushed as he tries to escape: someone wants him dead. Meanwhile a resourceful, unorthodox police detective is hot on his trail."
51,A Christmas Prince,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?","Comedy, Family, Romance",Parental Guidance,92,2017-11-17,Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige",United States,0,MPCA,0,0,0,20806.0,5.8,Suddenly junior editor Amber gets a chance to go out and do some real reporting. She's sent to Aldovia to report on prince Richard who has to decide whether he wants to become king or not before Christmas eve. When the prince don't turn up for the planned press conference Amber seize the chance to sneak into the palace to try and find something to report. Once inside she's mistaken for princess Emily's new tutor who was originally expected after the holidays and she plays along to get the chance to find her scoop. From her new position she soon learns that there is more to prince Richard than the playboy image he gets in the press. There's also complications around his accession to the throne. Amber is dragged into the events but will they be able to forgive her if they find out she's a reporter?
52,El Camino Christmas,"Eric comes to El Camino looking for his unknown dad. He's harassed, hit and jailed by a drunk local cop, who later shoots at a liquor mart with Eric +4 inside. The sheriff and deputy then shoot up the place, answering each other's...","Comedy, Crime, Western",Mature Audiences,89,2017-12-08,David E. Talbert,"Dax Shepard, Kurtwood Smith, Luke Grimes",United States,0,Goldenlight Films Brother,0,0,0,9922.0,5.7,"The project, scripted by Melfi and writer Chris Wehner, is about a young man (Grimes) who seeks out a father he has never met and, through no fault of his own, ends up barricaded in a liquor store with five other people on Christmas Eve. The story takes place in the fictitious town of El Camino, NV."
